"Sens","Sens_L","Sens_H","Spec","Spec_L","Spec_H","Score","accuracy","Site","DeepLearningSystem","X","Sen_95CI","Spe_95CI","Sensitivity","Specificity","Index","PPV","NPV","XpertSaved","nnt","CAD_Pos"
1,0.99914408,1,0,0,0.00042975,0,0.334,"MDF","qXRv3",1,"99.914-100.00000%","0.0000-0.0430%","100.0% (99.914-100.00000%)","0.0% (0.0000-0.0430%)","qXRv3_0",0.19,NA,0,5.26315789473684,1
1,0.99914408,1,0,0,0.00042975,1,0.334,"MDF","qXRv3",1,"99.914-100.00000%","0.0000-0.0430%","100.0% (99.914-100.00000%)","0.0% (0.0000-0.0430%)","qXRv3_1",0.19,NA,0,5.26315789473684,1
0.99860724,0.99697104,0.99948872,0.07492426,0.06944104,0.08069811,2,0.384,"MDF","qXRv3",0.92507574,"99.697-99.94887%","6.9441-8.0698%","99.9% (99.697-99.94887%)","7.5% (6.9441-8.0698%)","qXRv3_2",0.202051048737751,0.995658569617465,0.0609532746196126,4.94924429369301,0.939046725380387
0.99373259,0.99089426,0.99586579,0.25856444,0.24932588,0.26796717,3,0.504,"MDF","qXRv3",0.74143556,"99.089-99.58658%","24.9326-26.7967%","99.4% (99.089-99.58658%)","25.9% (24.9326-26.7967%)","qXRv3_3",0.239189118854625,0.994346393282519,0.210628001926686,4.1807921898311,0.789371998073314
0.99094708,0.98764494,0.99355479,0.33395479,0.32397614,0.34404628,4,0.554,"MDF","qXRv3",0.66604521,"98.764-99.35548%","32.3976-34.4046%","99.1% (98.764-99.35548%)","33.4% (32.3976-34.4046%)","qXRv3_4",0.258705699217435,0.993681459489718,0.272223434876002,3.86539609689668,0.727776565123998
0.98862581,0.9849903,0.99157379,0.37217432,0.36193393,0.38250156,5,0.578,"MDF","qXRv3",0.62782568,"98.499-99.15738%","36.1934-38.2502%","98.9% (98.499-99.15738%)","37.2% (36.1934-38.2502%)","qXRv3_5",0.269737101909259,0.992882287850882,0.303622293492004,3.70731350237612,0.696377706507996
0.9867688,0.98289104,0.98996383,0.39792589,0.38754804,0.40837309,6,0.595,"MDF","qXRv3",0.60207411,"98.289-98.99638%","38.7548-40.8373%","98.7% (98.289-98.99638%)","39.8% (38.7548-40.8373%)","qXRv3_6",0.277688811234069,0.99226088161207,0.324833899611093,3.60115337580916,0.675166100388907
0.98537604,0.98132792,0.98874474,0.4187835,0.40831629,0.42930589,7,0.608,"MDF","qXRv3",0.5812165,"98.133-98.87447%","40.8316-42.9306%","98.5% (98.133-98.87447%)","41.9% (40.8316-42.9306%)","qXRv3_7",0.284528129519247,0.991875415937013,0.341993186815184,3.51459098855937,0.658006813184816
0.98375116,0.97951462,0.9873119,0.43789326,0.42736102,0.4484677,8,0.62,"MDF","qXRv3",0.56210674,"97.951-98.73119%","42.7361-44.8468%","98.4% (97.951-98.73119%)","43.8% (42.7361-44.8468%)","qXRv3_8",0.291041946860273,0.99137103101761,0.357780824108329,3.43593083673293,0.642219175891671
0.9814299,0.97694055,0.9852483,0.45467257,0.44409627,0.46527966,9,0.631,"MDF","qXRv3",0.54532743,"97.694-98.52483%","44.4096-46.5280%","98.1% (97.694-98.52483%)","45.5% (44.4096-46.5280%)","qXRv3_9",0.296841085364545,0.990510503816683,0.371813101507831,3.368805900881,0.628186898492169
0.98119777,0.97668408,0.98504099,0.47017012,0.45956385,0.48079666,10,0.641,"MDF","qXRv3",0.52982988,"97.668-98.50410%","45.9564-48.0797%","98.1% (97.668-98.50410%)","47.0% (45.9564-48.0797%)","qXRv3_10",0.30284384606346,0.990706741117247,0.384410223444938,3.3020317665311,0.615589776555062
0.98003714,0.97540405,0.98400205,0.48310417,0.47248071,0.49373911,11,0.649,"MDF","qXRv3",0.51689583,"97.540-98.40020%","47.2481-49.3739%","98.0% (97.540-98.40020%)","48.3% (47.2481-49.3739%)","qXRv3_11",0.307834865746133,0.990400219896102,0.395107322293838,3.24849492787697,0.604892677706162
0.97934076,0.97463779,0.9833769,0.49662083,0.48598698,0.50725698,12,0.658,"MDF","qXRv3",0.50337917,"97.464-98.33769%","48.5987-50.7257%","97.9% (97.464-98.33769%)","49.7% (48.5987-50.7257%)","qXRv3_12",0.313356389696204,0.990336360591597,0.406188131125434,3.19125453599172,0.593811868874566
0.97748375,0.97260035,0.98170383,0.50652529,0.49588873,0.51715741,13,0.664,"MDF","qXRv3",0.49347471,"97.260-98.17038%","49.5889-51.7157%","97.7% (97.260-98.17038%)","50.7% (49.5889-51.7157%)","qXRv3_13",0.317236686588445,0.989680503100566,0.414563568519284,3.15222054155834,0.585436431480716
0.97609099,0.97107744,0.98044378,0.5142158,0.50358,0.52484194,14,0.669,"MDF","qXRv3",0.4857842,"97.108-98.04438%","50.3580-52.4842%","97.6% (97.108-98.04438%)","51.4% (50.3580-52.4842%)","qXRv3_14",0.320338015038361,0.989211184236854,0.4210575096502,3.12170255497228,0.5789424903498
