"Site","DeepLearningSystem","Score","Sensitivity","Specificity","PPV","NPV","nnt","XpertSaved%","Sens","Sens_L","Sens_H","Spec","Spec_L","Spec_H","ppv","PPV_L","PPV_H","npv","NPV_L","NPV_H","X"
"MDF","qXRv3",0,"100.0% (99.914-100.00000%)","0.0% (0.0000-0.0430%)","33.4% (32.606865-34.24314%)","NA (0.0000000-100.000000%)","3 (2.9-3.1)",0,1,0.99914408,1,0,0,0.00042975,0.33421257,0.32606865,0.3424314,NA,0,1,1
"MDF","qXRv3",1,"100.0% (99.914-100.00000%)","0.0% (0.0000-0.0430%)","33.4% (32.606865-34.24314%)","NA (0.0000000-100.000000%)","3 (2.9-3.1)",0,1,0.99914408,1,0,0,0.00042975,0.33421257,0.32606865,0.3424314,NA,0,1,1
"MDF","qXRv3",2,"99.9% (99.697-99.94887%)","7.5% (6.9441-8.0698%)","35.1% (34.297970-35.99747%)","99.1% (97.9986820-99.659991%)","2.8 (2.8-2.9)",0.05034911,0.99860724,0.99697104,0.99948872,0.07492426,0.06944104,0.08069811,0.35144188,0.3429797,0.35997474,0.99075501,0.97998682,0.99659991,0.92507574
"MDF","qXRv3",3,"99.4% (99.089-99.58658%)","25.9% (24.9326-26.7967%)","40.2% (39.286402-41.15864%)","98.8% (98.2557410-99.206330%)","2.5 (2.4-2.5)",0.1742436,0.99373259,0.99089426,0.99586579,0.25856444,0.24932588,0.26796717,0.40219842,0.39286402,0.41158636,0.98797863,0.98255741,0.9920633,0.74143556
"MDF","qXRv3",4,"99.1% (98.764-99.35548%)","33.4% (32.3976-34.4046%)","42.8% (41.780991-43.73150%)","98.7% (98.1692690-99.043647%)","2.3 (2.3-2.4)",0.2253685,0.99094708,0.98764494,0.99355479,0.33395479,0.32397614,0.34404628,0.42754131,0.41780991,0.437315,0.98657487,0.98169269,0.99043647,0.66604521
"MDF","qXRv3",5,"98.9% (98.499-99.15738%)","37.2% (36.1934-38.2502%)","44.1% (43.154255-45.14616%)","98.5% (98.0073180-98.880158%)","2.3 (2.2-2.3)",0.25159038,0.98862581,0.9849903,0.99157379,0.37217432,0.36193393,0.38250156,0.4414844,0.43154255,0.4514616,0.98489053,0.98007318,0.98880158,0.62782568
"MDF","qXRv3",6,"98.7% (98.289-98.99638%)","39.8% (38.7548-40.8373%)","45.1% (44.128277-46.14868%)","98.4% (97.8781540-98.754279%)","2.2 (2.2-2.3)",0.26935609,0.9867688,0.98289104,0.98996383,0.39792589,0.38754804,0.40837309,0.45136972,0.44128277,0.46148676,0.98358295,0.97878154,0.98754279,0.60207411
"MDF","qXRv3",7,"98.5% (98.133-98.87447%)","41.9% (40.8316-42.9306%)","46.0% (44.955811-46.99951%)","98.3% (97.8012070-98.673738%)","2.2 (2.1-2.2)",0.2837083,0.98537604,0.98132792,0.98874474,0.4187835,0.40831629,0.42930589,0.45976389,0.44955811,0.46999507,0.98277276,0.97801207,0.98673738,0.5812165
"MDF","qXRv3",8,"98.4% (97.951-98.73119%)","43.8% (42.7361-44.8468%)","46.8% (45.735082-47.80043%)","98.2% (97.6952150-98.571789%)","2.1 (2.1-2.2)",0.2969744,0.98375116,0.97951462,0.9873119,0.43789326,0.42736102,0.4484677,0.46766718,0.45735082,0.47800434,0.98171369,0.97695215,0.98571789,0.56210674
"MDF","qXRv3",9,"98.1% (97.694-98.52483%)","45.5% (44.4096-46.5280%)","47.5% (46.421340-48.50623%)","98.0% (97.5057380-98.403822%)","2.1 (2.1-2.2)",0.30892164,0.9814299,0.97694055,0.9852483,0.45467257,0.44409627,0.46527966,0.47462955,0.4642134,0.4850623,0.97990959,0.97505738,0.98403822,0.54532743
