"cut-off","Population","Prevalence","Prevalent 
cases","Sens","Spec","CAD pos","PPV","YI","TP","FN","FP","TN","Missed cases","% of missed","Total cost for confirmatory test","Cost per case","Extra cost 
due to over dx"
10,54125,19000,10283.75,"96.2%","50.5%","65.1%","49.4%","0.466",9890,394,25356,5190,394,"3.8%","$704927","$71","$507129"
11,54125,19000,10283.75,"96.1%","51.8%","64.2%","50%","0.478",9878,406,24869,5326,406,"3.9%","$694933","$70","$497374"
12,54125,19000,10283.75,"95.9%","52.9%","63.4%","50.5%","0.488",9866,418,24469,5438,418,"4.1%","$686703","$70","$489383"
13,54125,19000,10283.75,"95.8%","53.9%","62.7%","51%","0.496",9847,437,24094,5541,437,"4.2%","$678809","$69","$481871"
14,54125,19000,10283.75,"95.6%","54.7%","62.1%","51.4%","0.503",9830,454,23800,5621,454,"4.4%","$672594","$68","$475991"
15,54125,19000,10283.75,"95.5%","55.6%","61.5%","51.9%","0.511",9818,465,23446,5719,465,"4.5%","$665288","$68","$468923"
16,54125,19000,10283.75,"95.3%","56.4%","60.9%","52.3%","0.517",9802,482,23152,5800,482,"4.7%","$659074","$67","$463043"
17,54125,19000,10283.75,"95.2%","57%","60.4%","52.6%","0.522",9787,497,22919,5863,497,"4.8%","$654119","$67","$458374"
18,54125,19000,10283.75,"95.1%","57.7%","59.9%","53%","0.528",9775,508,22654,5936,508,"4.9%","$648576","$66","$453070"
19,54125,19000,10283.75,"95%","58.4%","59.5%","53.4%","0.533",9768,516,22421,6001,516,"5%","$643789","$66","$448427"
20,54125,19000,10283.75,"94.9%","58.8%","59.1%","53.7%","0.538",9761,523,22240,6051,523,"5.1%","$640010","$66","$444791"
21,54125,19000,10283.75,"94.7%","59.5%","58.6%","54%","0.542",9739,544,21992,6117,544,"5.3%","$634636","$65","$439846"
22,54125,19000,10283.75,"94.6%","60.1%","58.2%","54.3%","0.547",9732,551,21777,6177,551,"5.4%","$630185","$65","$435538"
23,54125,19000,10283.75,"94.5%","60.7%","57.8%","54.7%","0.552",9718,566,21543,6241,566,"5.5%","$625230","$64","$430870"
24,54125,19000,10283.75,"94.5%","61.1%","57.5%","54.9%","0.556",9713,571,21385,6285,571,"5.5%","$621955","$64","$427690"
25,54125,19000,10283.75,"94.3%","61.6%","57.1%","55.2%","0.56",9701,582,21186,6339,582,"5.7%","$617756","$64","$423730"
26,54125,19000,10283.75,"94.2%","62%","56.7%","55.5%","0.562",9685,599,21027,6381,599,"5.8%","$614228","$63","$420537"
27,54125,19000,10283.75,"94.1%","62.6%","56.4%","55.8%","0.567",9680,604,20834,6435,604,"5.9%","$610281","$63","$416685"
28,54125,19000,10283.75,"94%","63%","56.1%","56%","0.57",9670,613,20680,6477,613,"6%","$607006","$63","$413601"
