"Score","Sens","Sens_L","Sens_H","Spec","Spec_L","Spec_H","CAD_Pos_TB","CAD_Pos_Normal","Subgroup","AI","ppv","npv","CAD_Pos","XpertSaved","Comment","X","nnt"
0,1,0.99914408,1,0,0,0.00042975,1,1,"MDF","CAD4TBv7",0.19,NA,1,0,"",1,5.26315789473684
1,0.99373259,0.99089426,0.99586579,0.14810068,0.14064785,0.15579325,0.993732590529248,0.851899324166861,"MDF","CAD4TBv7",0.214837229147832,0.990170988722154,0.878847644775714,0.121152355224286,"",0.85189932,4.65468673174837
2,0.98746518,0.98367608,0.99056981,0.24935912,0.24023376,0.25865494,0.987465181058496,0.750640876252622,"MDF","CAD4TBv7",0.235808876413476,0.988346121401733,0.795637494165738,0.204362505834262,"",0.75064088,4.24072246647138
3,0.98421541,0.98003166,0.98772235,0.31507807,0.30525553,0.3250263,0.984215413184773,0.684921929620135,"MDF","CAD4TBv7",0.252094945923794,0.988385247341857,0.741787691497416,0.258212308502584,"",0.68492193,3.96675941413872
4,0.98050139,0.97591561,0.98441809,0.36390119,0.3537115,0.37418336,0.98050139275766,0.636098811465859,"MDF","CAD4TBv7",0.265553656454478,0.987587356553447,0.701535301911301,0.298464698088699,"",0.63609881,3.76571730682015
5,0.97655525,0.97158462,0.98086426,0.40480075,0.3943913,0.41527487,0.976555246053853,0.595199254253088,"MDF","CAD4TBv7",0.277905463538315,0.986596675646443,0.667656892695233,0.332343107304767,"",0.59519925,3.5983459528572
6,0.9726091,0.96728707,0.97727653,0.43160103,0.42108843,0.44216008,0.972609099350046,0.568398974597996,"MDF","CAD4TBv7",0.286416685642224,0.985331863620888,0.645198898300885,0.354801101699115,"",0.56839897,3.49141670206025
7,0.97005571,0.96452082,0.97494035,0.45478909,0.44421253,0.46539637,0.970055710306407,0.54521090654859,"MDF","CAD4TBv7",0.294458112217923,0.984790449038999,0.625931419262575,0.374068580737425,"",0.54521091,3.39606877347607
8,0.96773445,0.96201455,0.97280797,0.47506409,0.46445047,0.48569464,0.967734447539461,0.524935912374738,"MDF","CAD4TBv7",0.301886909857767,0.984318375731403,0.609067634056035,0.390932365943965,"",0.52493591,3.31249871175648
9,0.96564531,0.95976511,0.97088255,0.49335819,0.48272614,0.50399476,0.965645311049211,0.506641808436262,"MDF","CAD4TBv7",0.308953177133765,0.98392852178528,0.593852473932722,0.406147526067278,"",0.50664181,3.23673641837008
10,0.96169916,0.95553043,0.96723126,0.50466092,0.49402455,0.51529412,0.961699164345404,0.495339081799114,"MDF","CAD4TBv7",0.312909708324749,0.982509035479793,0.583947497482909,0.416052502517091,"",0.49533908,3.19581008001887
11,0.96053853,0.95428816,0.9661541,0.51794454,0.50731001,0.52856687,0.960538532961931,0.482055464926591,"MDF","CAD4TBv7",0.31852138640401,0.982442378992328,0.572967247853305,0.427032752146695,"",0.48205546,3.13950661614792
12,0.9593779,0.95304724,0.96507557,0.52878117,0.51815369,0.5393891,0.959377901578459,0.471218830109532,"MDF","CAD4TBv7",0.323212417300912,0.982298965111505,0.563969053688628,0.436030946311372,"",0.47121883,3.09394053715763
13,0.95752089,0.95106445,0.96334723,0.53880214,0.52818561,0.54939232,0.957520891364902,0.461197855977628,"MDF","CAD4TBv7",0.327505345476752,0.981842481389857,0.55549923270121,0.44450076729879,"",0.46119786,3.05338527694653
14,0.95589601,0.94933207,0.96183235,0.54660918,0.53600416,0.55718255,0.955896007428041,0.453390817991144,"MDF","CAD4TBv7",0.330900393103586,0.981425090830586,0.548866803984155,0.451133196015845,"",0.45339082,3.02205745548013
15,0.95473538,0.94809605,0.96074889,0.55616406,0.54557667,0.5667133,0.954735376044568,0.443835935679329,"MDF","CAD4TBv7",0.335362230483753,0.98126681373317,0.540906829348724,0.459093170651276,"",0.44383594,2.98185039668159
16,0.95311049,0.94636749,0.95923017,0.5639711,0.55340104,0.5744977,0.953110492107707,0.436028897692845,"MDF","CAD4TBv7",0.33894753779745,0.980870695233048,0.534274400631669,0.465725599368331,"",0.4360289,2.95030908469848
17,0.95171773,0.94488751,0.95792675,0.57014682,0.55959234,0.58065364,0.951717734447539,0.429853181076672,"MDF","CAD4TBv7",0.341821973546915,0.980522767944259,0.529007446217137,0.470992553782863,"",0.42985318,2.92549946284466
18,0.9505571,0.94365532,0.95683943,0.57725472,0.56672023,0.58773672,0.950557103064067,0.422745280820322,"MDF","CAD4TBv7",0.345307176920374,0.980304543974643,0.523029527046633,0.476970472953367,"",0.42274528,2.8959722439554
19,0.94986072,0.94291648,0.95618657,0.58354696,0.57303201,0.59400514,0.949860724233983,0.416453041249126,"MDF","CAD4TBv7",0.348538746252333,0.980243730687827,0.517800501016249,0.482199498983751,"",0.41645304,2.86912147000158
20,0.94916435,0.94217798,0.95553335,0.58844092,0.57794239,0.59887937,0.9491643454039,0.411559077138196,"MDF","CAD4TBv7",0.351060528940361,0.980138074105535,0.51370407810868,0.48629592189132,"",0.41155908,2.84851163136567
