"Site","DeepLearningSystem","Score","Sensitivity","Specificity","PPV","NPV","nnt","XpertSaved"
"MDF","qXRv3",0,"100.0% (99.914-100.00000%)","0.0% (0.0000-0.0430%)",0.19,NA,5.26315789473684,0
"MDF","qXRv3",1,"100.0% (99.914-100.00000%)","0.0% (0.0000-0.0430%)",0.19,NA,5.26315789473684,0
"MDF","qXRv3",2,"99.9% (99.697-99.94887%)","7.5% (6.9441-8.0698%)",0.202051048737751,0.995658569617465,4.94924429369301,0.0609532746196126
"MDF","qXRv3",3,"99.4% (99.089-99.58658%)","25.9% (24.9326-26.7967%)",0.239189118854625,0.994346393282519,4.1807921898311,0.210628001926686
"MDF","qXRv3",4,"99.1% (98.764-99.35548%)","33.4% (32.3976-34.4046%)",0.258705699217435,0.993681459489718,3.86539609689668,0.272223434876002
"MDF","qXRv3",5,"98.9% (98.499-99.15738%)","37.2% (36.1934-38.2502%)",0.269737101909259,0.992882287850882,3.70731350237612,0.303622293492004
"MDF","qXRv3",6,"98.7% (98.289-98.99638%)","39.8% (38.7548-40.8373%)",0.277688811234069,0.99226088161207,3.60115337580916,0.324833899611093
"MDF","qXRv3",7,"98.5% (98.133-98.87447%)","41.9% (40.8316-42.9306%)",0.284528129519247,0.991875415937013,3.51459098855937,0.341993186815184
"MDF","qXRv3",8,"98.4% (97.951-98.73119%)","43.8% (42.7361-44.8468%)",0.291041946860273,0.99137103101761,3.43593083673293,0.357780824108329
"MDF","qXRv3",9,"98.1% (97.694-98.52483%)","45.5% (44.4096-46.5280%)",0.296841085364545,0.990510503816683,3.368805900881,0.371813101507831
"MDF","qXRv3",10,"98.1% (97.668-98.50410%)","47.0% (45.9564-48.0797%)",0.30284384606346,0.990706741117247,3.3020317665311,0.384410223444938
"MDF","qXRv3",11,"98.0% (97.540-98.40020%)","48.3% (47.2481-49.3739%)",0.307834865746133,0.990400219896102,3.24849492787697,0.395107322293838
"MDF","qXRv3",12,"97.9% (97.464-98.33769%)","49.7% (48.5987-50.7257%)",0.313356389696204,0.990336360591597,3.19125453599172,0.406188131125434
"MDF","qXRv3",13,"97.7% (97.260-98.17038%)","50.7% (49.5889-51.7157%)",0.317236686588445,0.989680503100566,3.15222054155834,0.414563568519284
"MDF","qXRv3",14,"97.6% (97.108-98.04438%)","51.4% (50.3580-52.4842%)",0.320338015038361,0.989211184236854,3.12170255497228,0.4210575096502
"MDF","qXRv3",15,"97.5% (96.956-97.91796%)","52.3% (51.1973-53.3222%)",0.32383006334571,0.98877099953844,3.08803941693466,0.428117752342523
"MDF","qXRv3",16,"97.3% (96.729-97.72765%)","53.2% (52.1769-54.2995%)",0.327909508877811,0.988075711862729,3.04962184055672,0.436442910135377
"MDF","qXRv3",17,"97.2% (96.628-97.64282%)","54.1% (53.0403-55.1602%)",0.331812624048759,0.987870507513902,3.01374910875318,0.443603712029691
"MDF","qXRv3",18,"97.0% (96.477-97.51532%)","54.7% (53.6821-55.7996%)",0.334618105665543,0.987428589596832,2.98848144517176,0.449059433631359
"MDF","qXRv3",19,"96.9% (96.377-97.43014%)","55.4% (54.3825-56.4970%)",0.337879085261746,0.987202150320597,2.95963865068868,0.454898865215723
"MDF","qXRv3",20,"96.9% (96.302-97.36618%)","56.0% (54.9080-57.0199%)",0.340371039539993,0.987036100499532,2.93797028487349,0.459278438903996
"MDF","qXRv3",21,"96.8% (96.176-97.25943%)","56.4% (55.3635-57.4730%)",0.342433988385278,0.986669199323951,2.9202708665557,0.463179919016005
"MDF","qXRv3",22,"96.7% (96.151-97.23806%)","57.1% (56.0878-58.1931%)",0.346153628029124,0.986742731503609,2.88889070928895,0.469075805809789
