FileName,TID,Folder,Option
2020100000-5,2020100000-5,1st Batch\Dhanmondi_TBSTC,
2020100001-3,2020100001-3,1st Batch\Dhanmondi_TBSTC,
2020100002-1,2020100002-1,1st Batch\Dhanmondi_TBSTC,
2020100003-9,2020100003-9,1st Batch\Dhanmondi_TBSTC,
2020100004-7,2020100004-7,1st Batch\Dhanmondi_TBSTC,
2020100005-4,2020100005-4,1st Batch\Dhanmondi_TBSTC,
2020100006-2,2020100006-2,1st Batch\Dhanmondi_TBSTC,
2020100007-0,2020100007-0,1st Batch\Dhanmondi_TBSTC,
2020100008-8,2020100008-8,1st Batch\Dhanmondi_TBSTC,
2020100009-6,2020100009-6,1st Batch\Dhanmondi_TBSTC,
2020100010-4,2020100010-4,1st Batch\Dhanmondi_TBSTC,
2020100011-2,2020100011-2,1st Batch\Dhanmondi_TBSTC,
2020100012-0,2020100012-0,1st Batch\Dhanmondi_TBSTC,
2020100013-8,2020100013-8,1st Batch\Dhanmondi_TBSTC,
2020100015-3,2020100015-3,1st Batch\Dhanmondi_TBSTC,
2020100016-1,2020100016-1,1st Batch\Dhanmondi_TBSTC,
2020100017-9,2020100017-9,1st Batch\Dhanmondi_TBSTC,
2020100018-7,2020100018-7,1st Batch\Dhanmondi_TBSTC,
2020100019-5,2020100019-5,1st Batch\Dhanmondi_TBSTC,
2020100020-3,2020100020-3,1st Batch\Dhanmondi_TBSTC,
2020100021-1,2020100021-1,1st Batch\Dhanmondi_TBSTC,
2020100022-9,2020100022-9,1st Batch\Dhanmondi_TBSTC,
2020100023-7,2020100023-7,1st Batch\Dhanmondi_TBSTC,
2020100024-5,2020100024-5,1st Batch\Dhanmondi_TBSTC,
2020100025-2,2020100025-2,1st Batch\Dhanmondi_TBSTC,
2020100026-0,2020100026-0,1st Batch\Dhanmondi_TBSTC,
2020100027-8,2020100027-8,1st Batch\Dhanmondi_TBSTC,
2020100028-6,2020100028-6,1st Batch\Dhanmondi_TBSTC,
2020100029-4,2020100029-4,1st Batch\Dhanmondi_TBSTC,
2020100030-2,2020100030-2,1st Batch\Dhanmondi_TBSTC,
2020100031-0,2020100031-0,1st Batch\Dhanmondi_TBSTC,
2020100032-8,2020100032-8,1st Batch\Dhanmondi_TBSTC,
2020100033-6,2020100033-6,1st Batch\Dhanmondi_TBSTC,
2020100034-4,2020100034-4,1st Batch\Dhanmondi_TBSTC,
2020100035-1,2020100035-1,1st Batch\Dhanmondi_TBSTC,
2020100036-9,2020100036-9,1st Batch\Dhanmondi_TBSTC,
2020100037-7,2020100037-7,1st Batch\Dhanmondi_TBSTC,
2020100038-5,2020100038-5,1st Batch\Dhanmondi_TBSTC,
2020100039-3,2020100039-3,1st Batch\Dhanmondi_TBSTC,
2020100040-1,2020100040-1,1st Batch\Dhanmondi_TBSTC,
2020100041-9,2020100041-9,1st Batch\Dhanmondi_TBSTC,
2020100042-7,2020100042-7,1st Batch\Dhanmondi_TBSTC,
2020100043-5,2020100043-5,1st Batch\Dhanmondi_TBSTC,
2020100044-3,2020100044-3,1st Batch\Dhanmondi_TBSTC,
2020100045-0,2020100045-0,1st Batch\Dhanmondi_TBSTC,
2020100046-8,2020100046-8,1st Batch\Dhanmondi_TBSTC,
2020100047-6,2020100047-6,1st Batch\Dhanmondi_TBSTC,
2020100048-4,2020100048-4,1st Batch\Dhanmondi_TBSTC,
2020100049-2,2020100049-2,1st Batch\Dhanmondi_TBSTC,
2020100050-0,2020100050-0,1st Batch\Dhanmondi_TBSTC,
2020100051-8,2020100051-8,1st Batch\Dhanmondi_TBSTC,
2020100052-6,2020100052-6,1st Batch\Dhanmondi_TBSTC,
2020100053-4,2020100053-4,1st Batch\Dhanmondi_TBSTC,
2020100054-2,2020100054-2,1st Batch\Dhanmondi_TBSTC,
2020100055-9,2020100055-9,1st Batch\Dhanmondi_TBSTC,
2020100056-7,2020100056-7,1st Batch\Dhanmondi_TBSTC,
2020100057-5,2020100057-5,1st Batch\Dhanmondi_TBSTC,
2020100058-3,2020100058-3,1st Batch\Dhanmondi_TBSTC,
2020100059-1,2020100059-1,1st Batch\Dhanmondi_TBSTC,
2020100060-9,2020100060-9,1st Batch\Dhanmondi_TBSTC,
2020100061-7,2020100061-7,1st Batch\Dhanmondi_TBSTC,
2020100062-5,2020100062-5,1st Batch\Dhanmondi_TBSTC,
2020100063-3,2020100063-3,1st Batch\Dhanmondi_TBSTC,
2020100064-1,2020100064-1,1st Batch\Dhanmondi_TBSTC,
2020100065-8,2020100065-8,1st Batch\Dhanmondi_TBSTC,
2020100066-6,2020100066-6,1st Batch\Dhanmondi_TBSTC,
2020100067-4,2020100067-4,1st Batch\Dhanmondi_TBSTC,
2020100068-2,2020100068-2,1st Batch\Dhanmondi_TBSTC,
2020100069-0,2020100069-0,1st Batch\Dhanmondi_TBSTC,
2020100070-8,2020100070-8,1st Batch\Dhanmondi_TBSTC,
2020100071-6,2020100071-6,1st Batch\Dhanmondi_TBSTC,
2020100072-4,2020100072-4,1st Batch\Dhanmondi_TBSTC,
2020100073-2,2020100073-2,1st Batch\Dhanmondi_TBSTC,
2020100074-0,2020100074-0,1st Batch\Dhanmondi_TBSTC,
2020100075-7,2020100075-7,1st Batch\Dhanmondi_TBSTC,
2020100076-5,2020100076-5,1st Batch\Dhanmondi_TBSTC,
2020100077-3,2020100077-3,1st Batch\Dhanmondi_TBSTC,
2020100078-1,2020100078-1,1st Batch\Dhanmondi_TBSTC,
2020100079-9,2020100079-9,1st Batch\Dhanmondi_TBSTC,
2020100080-7,2020100080-7,1st Batch\Dhanmondi_TBSTC,
2020100081-5,2020100081-5,1st Batch\Dhanmondi_TBSTC,
2020100082-3,2020100082-3,1st Batch\Dhanmondi_TBSTC,
2020100083-1,2020100083-1,1st Batch\Dhanmondi_TBSTC,
2020100084-9,2020100084-9,1st Batch\Dhanmondi_TBSTC,
2020100085-6,2020100085-6,1st Batch\Dhanmondi_TBSTC,
2020100086-4,2020100086-4,1st Batch\Dhanmondi_TBSTC,
2020100087-2,2020100087-2,1st Batch\Dhanmondi_TBSTC,
2020100088-0,2020100088-0,1st Batch\Dhanmondi_TBSTC,
2020100089-8,2020100089-8,1st Batch\Dhanmondi_TBSTC,
2020100090-6,2020100090-6,1st Batch\Dhanmondi_TBSTC,
2020100091-4,2020100091-4,1st Batch\Dhanmondi_TBSTC,
2020100092-2,2020100092-2,1st Batch\Dhanmondi_TBSTC,
2020100093-0,2020100093-0,1st Batch\Dhanmondi_TBSTC,
2020100094-8,2020100094-8,1st Batch\Dhanmondi_TBSTC,
2020100095-5,2020100095-5,1st Batch\Dhanmondi_TBSTC,
2020100096-3,2020100096-3,1st Batch\Dhanmondi_TBSTC,
2020100097-1,2020100097-1,1st Batch\Dhanmondi_TBSTC,
2020100098-9,2020100098-9,1st Batch\Dhanmondi_TBSTC,
2020100099-7,2020100099-7,1st Batch\Dhanmondi_TBSTC,
2020100101-1,2020100101-1,1st Batch\Dhanmondi_TBSTC,
2020100103-7,2020100103-7,1st Batch\Dhanmondi_TBSTC,
2020100104-5,2020100104-5,1st Batch\Dhanmondi_TBSTC,
2020100105-2,2020100105-2,1st Batch\Dhanmondi_TBSTC,
2020100106-0,2020100106-0,1st Batch\Dhanmondi_TBSTC,
2020100107-8,2020100107-8,1st Batch\Dhanmondi_TBSTC,
2020100108-6,2020100108-6,1st Batch\Dhanmondi_TBSTC,
2020100109-4,2020100109-4,1st Batch\Dhanmondi_TBSTC,
2020100110-2,2020100110-2,1st Batch\Dhanmondi_TBSTC,
2020100111-0,2020100111-0,1st Batch\Dhanmondi_TBSTC,
2020100112-8,2020100112-8,1st Batch\Dhanmondi_TBSTC,
2020100113-6,2020100113-6,1st Batch\Dhanmondi_TBSTC,
2020100114-4,2020100114-4,1st Batch\Dhanmondi_TBSTC,
2020100115-1,2020100115-1,1st Batch\Dhanmondi_TBSTC,
2020100116-9,2020100116-9,1st Batch\Dhanmondi_TBSTC,
2020100117-7,2020100117-7,1st Batch\Dhanmondi_TBSTC,
2020100118-5,2020100118-5,1st Batch\Dhanmondi_TBSTC,
