"","Country","CAD_System","Score","% Above","Correct.rate","Sensitivity","Specificity","PPV","NPV"
"1","Pooled","CAD4TB",1,1,0.15,"1(0.99-1)","0(0-0)","0.15(0.14-0.15)","0.68(0.49-0.83)"
"2","Pooled","CAD4TB",2,1,0.15,"1(0.99-1)","0(0-0)","0.15(0.14-0.15)","0.71(0.54-0.85)"
"3","Pooled","CAD4TB",3,1,0.15,"1(0.99-1)","0(0-0)","0.15(0.14-0.15)","0.8(0.68-0.9)"
"4","Pooled","CAD4TB",4,1,0.15,"1(0.99-1)","0(0-0.01)","0.15(0.14-0.16)","0.87(0.78-0.93)"
"5","Pooled","CAD4TB",5,0.99,0.16,"1(0.99-1)","0.01(0.01-0.01)","0.15(0.14-0.16)","0.91(0.84-0.95)"
"6","Pooled","CAD4TB",6,0.99,0.16,"1(0.99-1)","0.01(0.01-0.01)","0.15(0.15-0.16)","0.94(0.89-0.97)"
"7","Pooled","CAD4TB",7,0.99,0.16,"1(0.99-1)","0.01(0.01-0.02)","0.15(0.15-0.16)","0.95(0.92-0.98)"
"8","Pooled","CAD4TB",8,0.98,0.16,"1(0.99-1)","0.02(0.02-0.02)","0.15(0.15-0.16)","0.96(0.93-0.98)"
"9","Pooled","CAD4TB",9,0.98,0.17,"1(0.99-1)","0.02(0.02-0.02)","0.15(0.15-0.16)","0.97(0.94-0.98)"
"10","Pooled","CAD4TB",10,0.98,0.17,"1(0.99-1)","0.03(0.02-0.03)","0.15(0.15-0.16)","0.97(0.95-0.99)"
"11","Pooled","CAD4TB",11,0.97,0.18,"1(0.99-1)","0.03(0.03-0.04)","0.15(0.15-0.16)","0.98(0.96-0.99)"
"12","Pooled","CAD4TB",12,0.97,0.18,"1(0.99-1)","0.04(0.03-0.04)","0.15(0.15-0.16)","0.98(0.96-0.99)"
"13","Pooled","CAD4TB",13,0.96,0.18,"0.99(0.99-1)","0.04(0.04-0.05)","0.15(0.15-0.16)","0.98(0.97-0.99)"
"14","Pooled","CAD4TB",14,0.96,0.19,"0.99(0.99-1)","0.05(0.04-0.05)","0.16(0.15-0.16)","0.98(0.97-0.99)"
"15","Pooled","CAD4TB",15,0.95,0.19,"0.99(0.99-1)","0.05(0.05-0.06)","0.16(0.15-0.16)","0.98(0.97-0.99)"
"16","Pooled","CAD4TB",16,0.95,0.2,"0.99(0.99-1)","0.06(0.05-0.06)","0.16(0.15-0.16)","0.99(0.98-0.99)"
"17","Pooled","CAD4TB",17,0.94,0.2,"0.99(0.99-1)","0.06(0.06-0.07)","0.16(0.15-0.16)","0.99(0.98-0.99)"
"18","Pooled","CAD4TB",18,0.94,0.21,"0.99(0.99-1)","0.07(0.07-0.07)","0.16(0.15-0.16)","0.98(0.98-0.99)"
"19","Pooled","CAD4TB",19,0.93,0.21,"0.99(0.99-1)","0.08(0.07-0.08)","0.16(0.15-0.16)","0.99(0.98-0.99)"
"20","Pooled","CAD4TB",20,0.93,0.22,"0.99(0.99-1)","0.08(0.08-0.09)","0.16(0.15-0.17)","0.99(0.98-0.99)"
"21","Pooled","CAD4TB",21,0.92,0.22,"0.99(0.99-1)","0.09(0.08-0.09)","0.16(0.16-0.17)","0.99(0.98-0.99)"
