"","TID"
"1","-11"
"2","..0000"
"3","0"
"4","0.0001237"
"5","0.012"
"6","0.1"
"7","0.111"
"8","0.1112"
"9","0.112"
"10","0.123"
"11","0.222"
"12","0.44"
"13","1"
"14","111"
"15","1111"
"16","11111"
"17","114477"
"18","123-25"
"19","12300"
"20","1230000"
"21","12345"
"22","123456"
"23","123456789"
"24","123654"
"25","1254879"
"26","14254"
"27","1607"
"28","1703047975"
"29","1713047975"
"30","17381255484"
"31","19072014"
"32","2"
"33","200103658-8"
"34","200103741-2"
"35","200103827-9"
"36","20014040002"
"37","20014040003"
"38","20014040011"
"39","20014040012"
"40","20014040019"
"41","20014040022"
"42","20014040023"
"43","20014040025"
"44","20014040026"
"45","20014040027"
"46","20014040028"
"47","20014040030"
"48","20014060077"
"49","201004020-0"
"50","201004322-0"
"51","20101000-5"
"52","2010100002-2"
"53","2010100003-0"
"54","2010100004-8"
"55","2010100005-5"
"56","2010100006-3"
"57","2010100007-1"
"58","2010100008-9"
"59","2010100009-7"
"60","2010100013-9"
"61","2010100014-7"
"62","2010100015-4"
"63","2010100016-2"
"64","2010100018-8"
"65","2010100019-6"
"66","2010100022-0"
"67","2010100023-8"
"68","2010100024-6"
"69","2010100025-3"
"70","2010100026-1"
"71","20101000260-6"
"72","2010100027-9"
"73","2010100029-5"
"74","2010100030-3"
"75","2010100031-1"
"76","2010100032-9"
"77","2010100033-7"
"78","2010100034-5"
"79","2010100036-0"
"80","2010100037-8"
"81","2010100038-6"
"82","2010100039-4"
"83","2010100040-2"
"84","2010100041-0"
"85","2010100042-8"
"86","2010100044-4"
"87","2010100045-1"
"88","2010100046-9"
"89","2010100048-5"
"90","2010100049-3"
"91","2010100050-1"
"92","2010100051-9"
"93","2010100053-5"
"94","2010100054-3"
"95","2010100055-0"
"96","2010100056-8"
"97","2010100057-6"
"98","2010100058-4"
"99","2010100059-2"
"100","2010100060-0"
"101","2010100061-8"
"102","2010100062-6"
"103","2010100063-4"
"104","2010100064-2"
"105","2010100065-9"
"106","2010100066-7"
"107","2010100067-5"
"108","2010100068-3"
"109","2010100069-1"
"110","2010100070-9"
"111","2010100071-7"
"112","2010100072-5"
"113","2010100073-3"
"114","2010100074-1"
"115","2010100075-8"
"116","2010100076-6"
"117","2010100077-4"
"118","2010100079-0"
"119","2010100081-6"
"120","2010100082-4"
"121","2010100083-2"
"122","2010100084-0"
"123","2010100086-5"
"124","2010100087-3"
"125","2010100088-1"
"126","2010100089-9"
"127","2010100090-7"
"128","2010100091-5"
"129","2010100092-3"
"130","2010100093-1"
"131","2010100094-9"
"132","2010100095-6"
"133","2010100096-4"
"134","2010100097-2"
"135","2010100098-0"
"136","2010100099-8"
"137","2010100100-4"
"138","2010100102-0"
"139","2010100103-8"
"140","2010100104-6"
"141","2010100105-3"
"142","2010100107-9"
"143","2010100108-7"
"144","2010100109-5"
"145","2010100110-3"
"146","2010100114-5"
"147","2010100115-2"
"148","2010100116-0"
"149","2010100117-8"
"150","2010100118-6"
"151","2010100119-4"
"152","2010100121-0"
"153","2010100122-8"
"154","2010100123-6"
"155","2010100124-4"
"156","2010100125-1"
"157","2010100126-9"
"158","2010100127-7"
"159","2010100128-5"
"160","2010100129-3"
"161","2010100130-1"
"162","2010100133-5"
"163","2010100134-3"
"164","2010100135-0"
"165","2010100136-8"
"166","2010100137-6"
"167","2010100138-4"
"168","2010100140-0"
"169","2010100141-8"
"170","2010100142-6"
"171","2010100143-4"
"172","2010100144-2"
"173","2010100145-9"
"174","2010100146-7"
"175","2010100147-5"
"176","2010100148-3"
"177","2010100149-1"
"178","2010100150-9"
"179","2010100151-7"
"180","2010100152-5"
"181","2010100153-3"
"182","2010100155-8"
"183","2010100156-6"
"184","2010100157-4"
"185","2010100158-2"
"186","2010100160-8"
"187","2010100161-6"
"188","2010100162-4"
"189","2010100163-2"
"190","2010100164-0"
"191","2010100165-7"
"192","2010100166-5"
"193","2010100167-3"
"194","2010100168-1"
"195","2010100169-9"
"196","2010100170-7"
"197","2010100171-5"
"198","2010100172-3"
"199","2010100173-1"
"200","2010100174-9"
"201","2010100175-6"
"202","2010100176-4"
"203","2010100177-2"
"204","2010100178-0"
"205","2010100180-6"
"206","2010100181-4"
"207","2010100182-2"
"208","2010100183-0"
"209","2010100184-8"
"210","2010100185-5"
"211","2010100186-3"
"212","2010100187-1"
"213","2010100188-9"
"214","2010100189-7"
"215","2010100190-5"
"216","2010100191-3"
"217","2010100192-1"
"218","2010100193-9"
"219","2010100194-7"
"220","2010100195-4"
"221","2010100196-2"
"222","2010100197-0"
"223","2010100198-8"
"224","2010100199-6"
"225","20101002-1"
"226","2010100201-0"
"227","2010100202-8"
"228","2010100203-6"
"229","2010100204-4"
"230","2010100205-1"
"231","2010100206-9"
"232","2010100207-7"
"233","2010100208-5"
"234","2010100209-3"
"235","2010100210-1"
"236","2010100211-9"
"237","2010100212-7"
"238","2010100213-5"
"239","2010100214-3"
"240","2010100215-0"
"241","2010100216-8"
"242","2010100217-6"
"243","2010100218-4"
"244","2010100220-0"
"245","2010100221-8"
"246","2010100222-6"
"247","2010100223-4"
"248","2010100224-2"
"249","2010100226-7"
"250","2010100227-5"
"251","2010100228-3"
"252","2010100229-1"
"253","2010100230-9"
"254","2010100231-7"
"255","2010100232-5"
"256","2010100233-3"
"257","2010100234-1"
"258","2010100235-8"
"259","2010100236-6"
"260","2010100237-4"
"261","2010100238-2"
"262","2010100239-0"
"263","2010100240-8"
"264","2010100241-6"
"265","2010100242-4"
"266","2010100244"
"267","2010100245-7"
"268","2010100246-5"
"269","2010100247-3"
"270","2010100248-1"
