ValidedTID,Check
-11,Wrong
0,Wrong
0,Wrong
0,Wrong
0,Wrong
0,Wrong
0,Wrong
0,Wrong
0,Wrong
0.0001237,Wrong
0.012,Wrong
0.1,Wrong
0.111,Wrong
0.1112,Wrong
0.112,Wrong
0.123,Wrong
0.222,Wrong
0.44,Wrong
1,Wrong
1,Wrong
1,Wrong
2,Wrong
2,Wrong
3,Wrong
3,Wrong
4,Wrong
4,Wrong
5,Wrong
5,Wrong
6,Wrong
6,Wrong
7,Wrong
45,Wrong
111,Wrong
221,Wrong
222,Wrong
478,Wrong
523,Wrong
788,Wrong
1111,Wrong
1607,Wrong
2225,Wrong
3210,Wrong
4922,Wrong
5545,Wrong
11111,Wrong
12300,Wrong
12345,Wrong
14254,Wrong
22222,Wrong
25555,Wrong
33333,Wrong
25.07.2014,Wrong
44444,Wrong
55555,Wrong
99999,Wrong
114477,Wrong
123456,Wrong
123654,Wrong
235698,Wrong
789654,Wrong
987654,Wrong
1230000,Wrong
1254879,Wrong
7777777,Wrong
19072014,Wrong
20101047,Wrong
21072014,Wrong
21569777,Wrong
22554477,Wrong
123456789,Wrong
1703047975,Wrong
1713047975,Wrong
2010100244,Wrong
9876543210,Wrong
17381255484,Wrong
20014040002,Wrong
20014040003,Wrong
20014040011,Wrong
20014040012,Wrong
20014040019,Wrong
20014040022,Wrong
20014040023,Wrong
20014040025,Wrong
20014040026,Wrong
20014040027,Wrong
20014040028,Wrong
20014040030,Wrong
20014060077,Wrong
20101047676,Wrong
5.54E+12,Wrong
..0000,Wrong
123-25,Wrong
200103658-8,
200103741-2,
200103827-9,
201004020-0,
201004322-0,
2010100002-2,
2010100003-0,
2010100004-8,
2010100005-5,
2010100006-3,
2010100007-1,
2010100008-9,
2010100009-7,
2010100013-9,
2010100014-7,
2010100015-4,
2010100016-2,
2010100018-8,
2010100019-6,
2010100022-0,
2010100023-8,
2010100024-6,
2010100025-3,
20101000260-6,
2010100026-1,
2010100027-9,
2010100029-5,
2010100030-3,
2010100031-1,
2010100032-9,
2010100033-7,
2010100034-5,
2010100036-0,
2010100037-8,
2010100038-6,
2010100039-4,
2010100040-2,
2010100041-0,
2010100042-8,
2010100044-4,
2010100045-1,
2010100046-9,
2010100048-5,
2010100049-3,
20101000-5,
2010100050-1,
2010100051-9,
2010100053-5,
2010100054-3,
2010100055-0,
2010100056-8,
2010100057-6,
2010100058-4,
2010100059-2,
2010100060-0,
2010100061-8,
2010100062-6,
2010100063-4,
2010100064-2,
2010100065-9,
2010100066-7,
2010100067-5,
2010100068-3,
2010100069-1,
2010100070-9,
2010100071-7,
2010100072-5,
2010100073-3,
2010100074-1,
2010100075-8,
2010100076-6,
2010100077-4,
2010100079-0,
2010100081-6,
2010100082-4,
2010100083-2,
2010100084-0,
2010100086-5,
2010100087-3,
2010100088-1,
2010100089-9,
2010100090-7,
2010100091-5,
2010100092-3,
2010100093-1,
2010100094-9,
2010100095-6,
2010100096-4,
2010100097-2,
2010100098-0,
2010100099-8,
2010100100-4,
2010100102-0,
2010100103-8,
2010100104-6,
2010100105-3,
2010100107-9,
2010100108-7,
2010100109-5,
2010100110-3,
2010100114-5,
2010100115-2,
2010100116-0,
2010100117-8,
2010100118-6,
2010100119-4,
2010100121-0,
2010100122-8,
2010100123-6,
2010100124-4,
2010100125-1,
2010100126-9,
