"","Country","DeepLearningSystem","Score","%XpertSaved","accuracy","Sens","Sens_L","Sens_H","Spec","ppv","Spec_L","Spec_H","PPV_L","PPV_H","npv","NPV_L","NPV_H","Sensitivity","Specificity","PPV","NPV","X","Comment"
"1","Bangladesh","CAD4TB",0,0,0.152387,1,0.998993,1,0,0.152387,0,0.000181,0.147864,0.156993,NA,0,1,"1(1-1)","0(0-0)","0.1524(0.15-0.16)","NaN(0-1)",1,""
"2","Bangladesh","CAD4TB",1,0,0.152387,1,0.998993,1,0,0.152387,0,0.000181,0.147864,0.156993,NA,0,1,"1(1-1)","0(0-0)","0.1524(0.15-0.16)","NaN(0-1)",1,""
"3","Bangladesh","CAD4TB",2,2e-04,0.152595,1,0.998993,1,0.000245,0.152418,8e-05,0.000573,0.147895,0.157026,1,0.478176,1,"1(1-1)","2e-04(0-0)","0.1524(0.15-0.16)","1(0.48-1)",0.999755,""
"4","Bangladesh","CAD4TB",3,0.001,0.153385,1,0.998993,1,0.001178,0.152539,0.000755,0.001753,0.148012,0.15715,1,0.857526,1,"1(1-1)","0.0012(0-0)","0.1525(0.15-0.16)","1(0.86-1)",0.998822,""
"5","Bangladesh","CAD4TB",4,0.0023,0.154717,1,0.998993,1,0.002749,0.152742,0.002077,0.003569,0.14821,0.157359,1,0.93625,1,"1(1-1)","0.0027(0-0)","0.1527(0.15-0.16)","1(0.94-1)",0.997251,""
"6","Bangladesh","CAD4TB",5,0.004,0.156423,1,0.998993,1,0.004762,0.153004,0.003863,0.005806,0.148465,0.157628,1,0.962684,1,"1(1-1)","0.0048(0-0.01)","0.153(0.15-0.16)","1(0.96-1)",0.995238,""
"7","Bangladesh","CAD4TB",6,0.0064,0.158795,1,0.998993,1,0.007561,0.153369,0.006417,0.008848,0.14882,0.158003,1,0.976331,1,"1(1-1)","0.0076(0.01-0.01)","0.1534(0.15-0.16)","1(0.98-1)",0.992439,""
"8","Bangladesh","CAD4TB",7,0.0094,0.161833,1,0.998993,1,0.011144,0.15384,0.009748,0.012682,0.149278,0.158486,1,0.983881,1,"1(1-1)","0.0111(0.01-0.01)","0.1538(0.15-0.16)","1(0.98-1)",0.988856,""
"9","Bangladesh","CAD4TB",8,0.0126,0.16487,0.999727,0.998479,0.999993,0.014777,0.154284,0.013165,0.01653,0.149709,0.158943,0.996689,0.98169,0.999916,"0.9997(1-1)","0.0148(0.01-0.02)","0.1543(0.15-0.16)","0.9967(0.98-1)",0.985223,""
"10","Bangladesh","CAD4TB",9,0.0154,0.167742,0.999727,0.998479,0.999993,0.018165,0.154734,0.016375,0.020094,0.150147,0.159405,0.997305,0.985074,0.999932,"0.9997(1-1)","0.0182(0.02-0.02)","0.1547(0.15-0.16)","0.9973(0.99-1)",0.981835,""
"11","Bangladesh","CAD4TB",10,0.0192,0.171487,0.999727,0.998479,0.999993,0.022583,0.155325,0.020587,0.024718,0.150722,0.160012,0.997831,0.987974,0.999945,"0.9997(1-1)","0.0226(0.02-0.02)","0.1553(0.15-0.16)","0.9978(0.99-1)",0.977417,""
"12","Bangladesh","CAD4TB",11,0.0233,0.175523,0.999454,0.998029,0.999934,0.027395,0.155937,0.025196,0.029729,0.151317,0.160642,0.996429,0.987159,0.999567,"0.9995(1-1)","0.0274(0.03-0.03)","0.1559(0.15-0.16)","0.9964(0.99-1)",0.972605,""
"13","Bangladesh","CAD4TB",12,0.0273,0.179477,0.999454,0.998029,0.999934,0.032059,0.156571,0.029682,0.03457,0.151934,0.161293,0.996947,0.989014,0.99963,"0.9995(1-1)","0.0321(0.03-0.03)","0.1566(0.15-0.16)","0.9969(0.99-1)",0.967941,""
"14","Bangladesh","CAD4TB",13,0.0312,0.183305,0.999181,0.997608,0.999831,0.036624,0.15716,0.034086,0.039295,0.152507,0.161899,0.995995,0.98834,0.999173,"0.9992(1-1)","0.0366(0.03-0.04)","0.1572(0.15-0.16)","0.996(0.99-1)",0.963376,""
"15","Bangladesh","CAD4TB",14,0.0358,0.187924,0.999181,0.997608,0.999831,0.042074,0.157913,0.039358,0.044921,0.153239,0.162673,0.996512,0.98984,0.99928,"0.9992(1-1)","0.0421(0.04-0.04)","0.1579(0.15-0.16)","0.9965(0.99-1)",0.957926,""
"16","Bangladesh","CAD4TB",15,0.0404,0.192501,0.999181,0.997608,0.999831,0.047474,0.158666,0.044594,0.050484,0.153972,0.163446,0.996907,0.990988,0.999362,"0.9992(1-1)","0.0475(0.04-0.05)","0.1587(0.15-0.16)","0.9969(0.99-1)",0.952526,""
"17","Bangladesh","CAD4TB",16,0.0447,0.196871,0.999181,0.997608,0.999831,0.052629,0.159392,0.049602,0.055784,0.154678,0.164192,0.997209,0.991866,0.999424,"0.9992(1-1)","0.0526(0.05-0.06)","0.1594(0.15-0.16)","0.9972(0.99-1)",0.947371,""
"18","Bangladesh","CAD4TB",17,0.0491,0.201115,0.998635,0.996817,0.999557,0.057735,0.160044,0.05457,0.061026,0.155311,0.164863,0.995766,0.990148,0.998624,"0.9986(1-1)","0.0577(0.05-0.06)","0.16(0.16-0.16)","0.9958(0.99-1)",0.942265,""
"19","Bangladesh","CAD4TB",18,0.0537,0.205485,0.998088,0.996066,0.999231,0.062988,0.160723,0.05969,0.066412,0.155971,0.165562,0.994574,0.988852,0.997816,"0.9981(1-1)","0.063(0.06-0.07)","0.1607(0.16-0.17)","0.9946(0.99-1)",0.937012,""
"20","Bangladesh","CAD4TB",19,0.0575,0.209271,0.998088,0.996066,0.999231,0.067455,0.161369,0.064048,0.070986,0.156599,0.166225,0.994931,0.989584,0.99796,"0.9981(1-1)","0.0675(0.06-0.07)","0.1614(0.16-0.17)","0.9949(0.99-1)",0.932545,""
"21","Bangladesh","CAD4TB",20,0.062,0.213849,0.998088,0.996066,0.999231,0.072856,0.162156,0.069323,0.076511,0.157366,0.167034,0.995305,0.990351,0.99811,"0.9981(1-1)","0.0729(0.07-0.08)","0.1622(0.16-0.17)","0.9953(0.99-1)",0.927144,""
"22","Bangladesh","CAD4TB",21,0.0672,0.218926,0.997815,0.9957,0.999056,0.078894,0.163009,0.075228,0.082681,0.158195,0.16791,0.995046,0.990263,0.997859,"0.9978(1-1)","0.0789(0.08-0.08)","0.163(0.16-0.17)","0.995(0.99-1)",0.921106,""
"23","Bangladesh","CAD4TB",22,0.0717,0.223253,0.997269,0.994984,0.99869,0.084098,0.163708,0.080322,0.087994,0.158874,0.16863,0.994196,0.989353,0.997213,"0.9973(0.99-1)","0.0841(0.08-0.09)","0.1637(0.16-0.17)","0.9942(0.99-1)",0.915902,""
"24","Bangladesh","CAD4TB",23,0.076,0.227498,0.996996,0.994632,0.9985,0.089155,0.16443,0.085276,0.093152,0.159576,0.169372,0.993979,0.989253,0.996991,"0.997(0.99-1)","0.0892(0.09-0.09)","0.1644(0.16-0.17)","0.994(0.99-1)",0.910845,""
"25","Bangladesh","CAD4TB",24,0.0813,0.232741,0.996996,0.994632,0.9985,0.095341,0.165368,0.091341,0.099457,0.160489,0.170335,0.994368,0.989945,0.997185,"0.997(0.99-1)","0.0953(0.09-0.1)","0.1654(0.16-0.17)","0.9944(0.99-1)",0.904659,""
"26","Bangladesh","CAD4TB",25,0.0863,0.237651,0.99645,0.993937,0.998108,0.101232,0.166196,0.097122,0.105456,0.161294,0.171187,0.993735,0.98931,0.99666,"0.9964(0.99-1)","0.1012(0.1-0.11)","0.1662(0.16-0.17)","0.9937(0.99-1)",0.898768,""
"27","Bangladesh","CAD4TB",26,0.0905,0.241646,0.995904,0.993253,0.997706,0.106043,0.166865,0.101847,0.110353,0.161943,0.171875,0.993103,0.988651,0.996135,"0.9959(0.99-1)","0.106(0.1-0.11)","0.1669(0.16-0.17)","0.9931(0.99-1)",0.893957,""
"28","Bangladesh","CAD4TB",27,0.0947,0.245849,0.995904,0.993253,0.997706,0.111002,0.16764,0.106719,0.115396,0.162698,0.172671,0.993409,0.989153,0.996307,"0.9959(0.99-1)","0.111(0.11-0.12)","0.1676(0.16-0.17)","0.9934(0.99-1)",0.888998,""
"29","Bangladesh","CAD4TB",28,0.0998,0.250843,0.995631,0.992914,0.997501,0.116942,0.168539,0.11256,0.121435,0.163572,0.173595,0.993328,0.989187,0.996182,"0.9956(0.99-1)","0.1169(0.11-0.12)","0.1685(0.16-0.17)","0.9933(0.99-1)",0.883058,""
"30","Bangladesh","CAD4TB",29,0.1052,0.256252,0.995631,0.992914,0.997501,0.123325,0.169558,0.118839,0.127919,0.164564,0.174641,0.993671,0.989742,0.996378,"0.9956(0.99-1)","0.1233(0.12-0.13)","0.1696(0.16-0.17)","0.9937(0.99-1)",0.876675,""
"31","Bangladesh","CAD4TB",30,0.1098,0.260788,0.995358,0.992578,0.997293,0.128725,0.170391,0.124155,0.133402,0.165374,0.175497,0.993558,0.989706,0.996243,"0.9954(0.99-1)","0.1287(0.12-0.13)","0.1704(0.17-0.18)","0.9936(0.99-1)",0.871275,""
"32","Bangladesh","CAD4TB",31,0.1155,0.266239,0.994539,0.991578,0.996661,0.135304,0.171348,0.130634,0.140078,0.166304,0.176482,0.992795,0.988895,0.995594,"0.9945(0.99-1)","0.1353(0.13-0.14)","0.1713(0.17-0.18)","0.9928(0.99-1)",0.864696,""
"33","Bangladesh","CAD4TB",32,0.1205,0.271108,0.994265,0.991247,0.996447,0.141097,0.172265,0.136343,0.145953,0.167196,0.177425,0.992746,0.988933,0.995504,"0.9943(0.99-1)","0.1411(0.14-0.15)","0.1723(0.17-0.18)","0.9927(0.99-1)",0.858903,""
"34","Bangladesh","CAD4TB",33,0.1256,0.276268,0.994265,0.991247,0.996447,0.147184,0.173282,0.142345,0.152125,0.168186,0.178468,0.993044,0.989387,0.995689,"0.9943(0.99-1)","0.1472(0.14-0.15)","0.1733(0.17-0.18)","0.993(0.99-1)",0.852816,""
"35","Bangladesh","CAD4TB",34,0.1307,0.281345,0.994265,0.991247,0.996447,0.153174,0.174294,0.148253,0.158194,0.169171,0.179507,0.993314,0.989798,0.995857,"0.9943(0.99-1)","0.1532(0.15-0.16)","0.1743(0.17-0.18)","0.9933(0.99-1)",0.846826,""
"36","Bangladesh","CAD4TB",35,0.1353,0.285881,0.993992,0.990918,0.996231,0.158574,0.175177,0.153582,0.163664,0.17003,0.180415,0.993235,0.989775,0.995756,"0.994(0.99-1)","0.1586(0.15-0.16)","0.1752(0.17-0.18)","0.9932(0.99-1)",0.841426,""
"37","Bangladesh","CAD4TB",36,0.1402,0.290625,0.993446,0.990264,0.995796,0.164269,0.176081,0.159205,0.16943,0.170909,0.181344,0.992878,0.989422,0.995432,"0.9934(0.99-1)","0.1643(0.16-0.17)","0.1761(0.17-0.18)","0.9929(0.99-1)",0.835731,""
"38","Bangladesh","CAD4TB",37,0.1439,0.294203,0.993173,0.989939,0.995577,0.16854,0.176785,0.163423,0.173753,0.171594,0.182068,0.99277,0.989346,0.995316,"0.9932(0.99-1)","0.1685(0.16-0.17)","0.1768(0.17-0.18)","0.9928(0.99-1)",0.83146,""
"39","Bangladesh","CAD4TB",38,0.1487,0.298822,0.992627,0.989291,0.995136,0.174088,0.177681,0.168903,0.179366,0.172465,0.182989,0.992443,0.989024,0.995014,"0.9926(0.99-1)","0.1741(0.17-0.18)","0.1777(0.17-0.18)","0.9924(0.99-1)",0.825912,""
"40","Bangladesh","CAD4TB",39,0.1534,0.303483,0.992354,0.988968,0.994913,0.179636,0.178628,0.174385,0.184978,0.173386,0.183961,0.992406,0.989043,0.994948,"0.9924(0.99-0.99)","0.1796(0.17-0.18)","0.1786(0.17-0.18)","0.9924(0.99-0.99)",0.820364,""
"41","Bangladesh","CAD4TB",40,0.1575,0.307436,0.992081,0.988646,0.99469,0.184349,0.179434,0.179044,0.189743,0.17417,0.18479,0.992336,0.989012,0.994862,"0.9921(0.99-0.99)","0.1843(0.18-0.19)","0.1794(0.17-0.18)","0.9923(0.99-0.99)",0.815651,""
"42","Bangladesh","CAD4TB",41,0.1617,0.311514,0.991535,0.988006,0.994241,0.189258,0.180243,0.183899,0.194706,0.174957,0.185622,0.992023,0.988696,0.994574,"0.9915(0.99-0.99)","0.1893(0.18-0.19)","0.1802(0.17-0.19)","0.992(0.99-0.99)",0.810742,""
"43","Bangladesh","CAD4TB",42,0.1664,0.315967,0.990715,0.98705,0.993562,0.194659,0.18111,0.18924,0.200164,0.175799,0.186514,0.991498,0.988139,0.994105,"0.9907(0.99-0.99)","0.1947(0.19-0.2)","0.1811(0.18-0.19)","0.9915(0.99-0.99)",0.805341,""
"44","Bangladesh","CAD4TB",43,0.1702,0.319546,0.990169,0.986416,0.993105,0.198979,0.181827,0.193515,0.204529,0.176496,0.187252,0.991196,0.987832,0.993826,"0.9902(0.99-0.99)","0.199(0.19-0.2)","0.1818(0.18-0.19)","0.9912(0.99-0.99)",0.801021,""
"45","Bangladesh","CAD4TB",44,0.1761,0.325371,0.989623,0.985785,0.992647,0.20595,0.183049,0.200414,0.21157,0.177684,0.188507,0.991023,0.987699,0.99364,"0.9896(0.99-0.99)","0.206(0.2-0.21)","0.183(0.18-0.19)","0.991(0.99-0.99)",0.79405,""
"46","Bangladesh","CAD4TB",45,0.2148,0.363073,0.986619,0.982348,0.990085,0.25097,0.191468,0.245027,0.256984,0.185875,0.197156,0.990506,0.987467,0.992968,"0.9866(0.98-0.99)","0.251(0.25-0.26)","0.1915(0.19-0.2)","0.9905(0.99-0.99)",0.74903,""
"47","Bangladesh","CAD4TB",46,0.2517,0.39886,0.982796,0.978042,0.986756,0.293878,0.200145,0.287627,0.300187,0.194318,0.206069,0.989585,0.986694,0.991988,"0.9828(0.98-0.99)","0.2939(0.29-0.3)","0.2001(0.19-0.21)","0.9896(0.99-0.99)",0.706122,""
"48","Bangladesh","CAD4TB",47,0.2865,0.432608,0.979519,0.974394,0.983857,0.334282,0.209191,0.327804,0.340809,0.203124,0.215357,0.989105,0.986362,0.991421,"0.9795(0.97-0.98)","0.3343(0.33-0.34)","0.2092(0.2-0.22)","0.9891(0.99-0.99)",0.665718,""
"49","Bangladesh","CAD4TB",48,0.3203,0.465316,0.975969,0.970477,0.980683,0.373509,0.218794,0.36686,0.380194,0.212474,0.225214,0.988565,0.985931,0.990819,"0.976(0.97-0.98)","0.3735(0.37-0.38)","0.2188(0.21-0.23)","0.9886(0.99-0.99)",0.626491,""
"50","Bangladesh","CAD4TB",49,0.3485,0.492031,0.970781,0.9648,0.975994,0.40596,0.227084,0.399205,0.412742,0.220541,0.233729,0.987225,0.984584,0.989519,"0.9708(0.96-0.98)","0.406(0.4-0.41)","0.2271(0.22-0.23)","0.9872(0.98-0.99)",0.59404,""
"51","Bangladesh","CAD4TB",50,0.3739,0.5165,0.967777,0.961535,0.973257,0.435367,0.23556,0.428544,0.44221,0.228798,0.242425,0.986868,0.984295,0.989119,"0.9678(0.96-0.97)","0.4354(0.43-0.44)","0.2356(0.23-0.24)","0.9869(0.98-0.99)",0.564633,""
"52","Bangladesh","CAD4TB",51,0.3942,0.535392,0.963135,0.956514,0.969002,0.458491,0.242289,0.45163,0.465364,0.235346,0.249335,0.98575,0.983156,0.98804,"0.9631(0.96-0.97)","0.4585(0.45-0.47)","0.2423(0.24-0.25)","0.9858(0.98-0.99)",0.541509,""
"53","Bangladesh","CAD4TB",52,0.4118,0.551163,0.957127,0.950055,0.963457,0.478178,0.247984,0.471297,0.485065,0.240881,0.25519,0.984137,0.981477,0.986505,"0.9571(0.95-0.96)","0.4782(0.47-0.49)","0.248(0.24-0.26)","0.9841(0.98-0.99)",0.521822,""
"54","Bangladesh","CAD4TB",53,0.4276,0.565769,0.953304,0.945963,0.95991,0.496097,0.253799,0.489207,0.502988,0.246542,0.261159,0.983359,0.980696,0.985744,"0.9533(0.95-0.96)","0.4961(0.49-0.5)","0.2538(0.25-0.26)","0.9834(0.98-0.99)",0.503903,""
"55","Bangladesh","CAD4TB",54,0.4422,0.579377,0.950027,0.942466,0.956859,0.51274,0.259549,0.50585,0.519627,0.252143,0.26706,0.98278,0.980123,0.985167,"0.95(0.94-0.96)","0.5127(0.51-0.52)","0.2595(0.25-0.27)","0.9828(0.98-0.99)",0.48726,"Radiologists' specificity = 0.461(0.454-0.467)"
"56","Bangladesh","CAD4TB",55,0.4572,0.592526,0.94402,0.936076,0.951245,0.529334,0.265026,0.522451,0.536208,0.257467,0.27269,0.981342,0.978634,0.983789,"0.944(0.94-0.95)","0.5293(0.52-0.54)","0.265(0.26-0.27)","0.9813(0.98-0.98)",0.470666,""
"57","Bangladesh","CAD4TB",56,0.4712,0.605385,0.940197,0.932022,0.947659,0.545191,0.270953,0.538322,0.552047,0.263239,0.278772,0.980661,0.977953,0.983117,"0.9402(0.93-0.95)","0.5452(0.54-0.55)","0.271(0.26-0.28)","0.9807(0.98-0.98)",0.454809,""
"58","Bangladesh","CAD4TB",57,0.4829,0.615122,0.933916,0.925381,0.94175,0.557808,0.275207,0.550956,0.564645,0.267368,0.283152,0.979145,0.976379,0.981667,"0.9339(0.93-0.94)","0.5578(0.55-0.56)","0.2752(0.27-0.28)","0.9791(0.98-0.98)",0.442192,""
"59","Bangladesh","CAD4TB",58,0.4964,0.627023,0.928727,0.919911,0.936852,0.572782,0.281005,0.565954,0.579589,0.273009,0.289106,0.978119,0.975332,0.980669,"0.9287(0.92-0.94)","0.5728(0.57-0.58)","0.281(0.27-0.29)","0.9781(0.98-0.98)",0.427218,"1/2 Xpert Saved"
"60","Bangladesh","CAD4TB",59,0.5081,0.636802,0.922174,0.913019,0.930647,0.585498,0.285702,0.578696,0.592275,0.27757,0.293941,0.97666,0.973825,0.979265,"0.9222(0.91-0.93)","0.5855(0.58-0.59)","0.2857(0.28-0.29)","0.9767(0.97-0.98)",0.414502,""
"61","Bangladesh","CAD4TB",60,0.5194,0.645874,0.915074,0.905573,0.923905,0.597477,0.29013,0.590704,0.604222,0.281864,0.298502,0.975082,0.972194,0.977746,"0.9151(0.91-0.92)","0.5975(0.59-0.6)","0.2901(0.28-0.3)","0.9751(0.97-0.98)",0.402523,""
"62","Bangladesh","CAD4TB",61,0.5308,0.654821,0.906881,0.897005,0.916102,0.609505,0.294545,0.602765,0.616213,0.286141,0.303056,0.973267,0.970319,0.975997,"0.9069(0.9-0.92)","0.6095(0.6-0.62)","0.2945(0.29-0.3)","0.9733(0.97-0.98)",0.390495,""
"63","Bangladesh","CAD4TB",62,0.5415,0.663435,0.900055,0.889882,0.909583,0.620894,0.299147,0.61419,0.627564,0.290606,0.307794,0.971874,0.968888,0.974647,"0.9001(0.89-0.91)","0.6209(0.61-0.63)","0.2991(0.29-0.31)","0.9719(0.97-0.97)",0.379106,""
"64","Bangladesh","CAD4TB",63,0.5544,0.673921,0.892135,0.881637,0.902003,0.63469,0.305099,0.628034,0.641308,0.296385,0.313919,0.970352,0.96733,0.973167,"0.8921(0.88-0.9)","0.6347(0.63-0.64)","0.3051(0.3-0.31)","0.9704(0.97-0.97)",0.36531,""
"65","Bangladesh","CAD4TB",64,0.5669,0.6837,0.883124,0.872275,0.893357,0.647847,0.310752,0.641243,0.65441,0.301867,0.319744,0.968585,0.965517,0.97145,"0.8831(0.87-0.89)","0.6478(0.64-0.65)","0.3108(0.3-0.32)","0.9686(0.97-0.97)",0.352153,"Radiologists' specificity = 0.627(0.621-0.634)"
"66","Bangladesh","CAD4TB",65,0.5788,0.69194,0.871109,0.859823,0.881799,0.659728,0.315186,0.653174,0.666236,0.30614,0.324339,0.966068,0.962924,0.969015,"0.8711(0.86-0.88)","0.6597(0.65-0.67)","0.3152(0.31-0.32)","0.9661(0.96-0.97)",0.340272,""
"67","Bangladesh","CAD4TB",66,0.5914,0.700387,0.857455,0.84571,0.868626,0.672149,0.319821,0.665653,0.678595,0.310599,0.32915,0.963273,0.960049,0.966305,"0.8575(0.85-0.87)","0.6721(0.67-0.68)","0.3198(0.31-0.33)","0.9633(0.96-0.97)",0.327851,""
"68","Bangladesh","CAD4TB",67,0.6044,0.709084,0.843528,0.831351,0.855154,0.684913,0.324918,0.678483,0.691291,0.315506,0.334438,0.960548,0.957254,0.963656,"0.8435(0.83-0.86)","0.6849(0.68-0.69)","0.3249(0.32-0.33)","0.9605(0.96-0.96)",0.315087,""
"69","Bangladesh","CAD4TB",68,0.6178,0.717573,0.827417,0.814781,0.839527,0.697825,0.329886,0.691466,0.704127,0.320271,0.339608,0.95743,0.954058,0.960621,"0.8274(0.81-0.84)","0.6978(0.69-0.7)","0.3299(0.32-0.34)","0.9574(0.95-0.96)",0.302175,""
"70","Bangladesh","CAD4TB",69,0.6318,0.726312,0.810213,0.79713,0.822799,0.711228,0.335292,0.70495,0.717446,0.325455,0.345238,0.954222,0.950776,0.957492,"0.8102(0.8-0.82)","0.7112(0.7-0.72)","0.3353(0.33-0.35)","0.9542(0.95-0.96)",0.288772,""
"71","Bangladesh","CAD4TB",70,0.6456,0.735924,0.796286,0.782871,0.809227,0.725072,0.342414,0.718885,0.731196,0.332333,0.352604,0.951917,0.948433,0.955231,"0.7963(0.78-0.81)","0.7251(0.72-0.73)","0.3424(0.33-0.35)","0.9519(0.95-0.96)",0.274928,""
"72","Bangladesh","CAD4TB",71,0.6605,0.744996,0.777171,0.763338,0.79056,0.739212,0.34886,0.733123,0.745231,0.338512,0.359316,0.948592,0.945042,0.951976,"0.7772(0.76-0.79)","0.7392(0.73-0.75)","0.3489(0.34-0.36)","0.9486(0.95-0.95)",0.260788,"2/3 Xpert Saved"
"73","Bangladesh","CAD4TB",72,0.6748,0.753693,0.758875,0.74468,0.772655,0.752762,0.355598,0.746777,0.758674,0.344977,0.366328,0.945548,0.941944,0.948991,"0.7589(0.74-0.77)","0.7528(0.75-0.76)","0.3556(0.34-0.37)","0.9455(0.94-0.95)",0.247238,""
"74","Bangladesh","CAD4TB",73,0.6904,0.762057,0.735117,0.720505,0.749354,0.766901,0.361828,0.761032,0.772693,0.350898,0.372867,0.941535,0.937856,0.945057,"0.7351(0.72-0.75)","0.7669(0.76-0.77)","0.3618(0.35-0.37)","0.9415(0.94-0.95)",0.233099,""
"75","Bangladesh","CAD4TB",74,0.7055,0.770005,0.711633,0.69666,0.726268,0.7805,0.368235,0.774751,0.786168,0.356983,0.379596,0.937714,0.933971,0.941306,"0.7116(0.7-0.73)","0.7805(0.77-0.79)","0.3682(0.36-0.38)","0.9377(0.93-0.94)",0.2195,""
"76","Bangladesh","CAD4TB",75,0.7211,0.778037,0.686783,0.67148,0.701788,0.794443,0.375261,0.788827,0.799974,0.363651,0.38698,0.93381,0.930007,0.937468,"0.6868(0.67-0.7)","0.7944(0.79-0.8)","0.3753(0.36-0.39)","0.9338(0.93-0.94)",0.205557,""
"77","Bangladesh","CAD4TB",76,0.7369,0.78482,0.657291,0.641662,0.672669,0.807747,0.380674,0.802267,0.813139,0.368684,0.392774,0.929128,0.925249,0.932865,"0.6573(0.64-0.67)","0.8077(0.8-0.81)","0.3807(0.37-0.39)","0.9291(0.93-0.93)",0.192253,""
