"Country","DeepLearningSystem","Score","%XpertSaved","accuracy","Sens","Sensitivity","Specificity","PPV","NPV","X","Comment"
"Bangladesh","JF1",0,0,0.1524,1,"1(1-1)","0(0-0)","0.1524(0.15-0.16)","NaN(0-1)",1,""
"Bangladesh","JF1",0.01,0.0627,0.2139,0.9962,"0.9962(0.99-1)","0.0733(0.07-0.08)","0.162(0.16-0.17)","0.9907(0.98-0.99)",0.9267,""
"Bangladesh","JF1",0.02,0.1284,0.2778,0.9902,"0.9902(0.99-0.99)","0.1497(0.14-0.15)","0.1731(0.17-0.18)","0.9883(0.98-0.99)",0.8503,""
"Bangladesh","JF1",0.03,0.1654,0.3138,0.9869,"0.9869(0.98-0.99)","0.1927(0.19-0.2)","0.1802(0.17-0.19)","0.9879(0.98-0.99)",0.8073,""
"Bangladesh","JF1",0.04,0.1926,0.3399,0.9833,"0.9833(0.98-0.99)","0.2242(0.22-0.23)","0.1856(0.18-0.19)","0.9868(0.98-0.99)",0.7758,""
"Bangladesh","JF1",0.05,0.2107,0.3576,0.982,"0.982(0.98-0.99)","0.2453(0.24-0.25)","0.1896(0.18-0.2)","0.987(0.98-0.99)",0.7547,""
"Bangladesh","JF1",0.06,0.2265,0.3731,0.9809,"0.9809(0.98-0.99)","0.2638(0.26-0.27)","0.1932(0.19-0.2)","0.9871(0.98-0.99)",0.7362,""
"Bangladesh","JF1",0.07,0.2384,0.3848,0.9803,"0.9803(0.98-0.98)","0.2778(0.27-0.28)","0.1962(0.19-0.2)","0.9874(0.98-0.99)",0.7222,""
"Bangladesh","JF1",0.08,0.2506,0.3966,0.979,"0.979(0.97-0.98)","0.2919(0.29-0.3)","0.1991(0.19-0.2)","0.9872(0.98-0.99)",0.7081,""
"Bangladesh","JF1",0.09,0.261,0.4068,0.9784,"0.9784(0.97-0.98)","0.3041(0.3-0.31)","0.2018(0.2-0.21)","0.9874(0.98-0.99)",0.6959,""
"Bangladesh","JF1",0.1,0.2692,0.4146,0.9771,"0.9771(0.97-0.98)","0.3135(0.31-0.32)","0.2037(0.2-0.21)","0.987(0.98-0.99)",0.6865,""
"Bangladesh","JF1",0.11,0.2774,0.4226,0.9762,"0.9762(0.97-0.98)","0.323(0.32-0.33)","0.2059(0.2-0.21)","0.987(0.98-0.99)",0.677,""
"Bangladesh","JF1",0.12,0.2844,0.4293,0.9754,"0.9754(0.97-0.98)","0.3311(0.32-0.34)","0.2077(0.2-0.21)","0.9868(0.98-0.99)",0.6689,""
"Bangladesh","JF1",0.13,0.2906,0.4353,0.9749,"0.9749(0.97-0.98)","0.3383(0.33-0.34)","0.2094(0.2-0.22)","0.9868(0.98-0.99)",0.6617,""
"Bangladesh","JF1",0.14,0.2968,0.4414,0.9746,"0.9746(0.97-0.98)","0.3456(0.34-0.35)","0.2112(0.21-0.22)","0.987(0.98-0.99)",0.6544,""
"Bangladesh","JF1",0.15,0.3024,0.4467,0.9735,"0.9735(0.97-0.98)","0.352(0.35-0.36)","0.2126(0.21-0.22)","0.9867(0.98-0.99)",0.648,""
"Bangladesh","JF1",0.16,0.3075,0.4515,0.9724,"0.9724(0.97-0.98)","0.3578(0.35-0.36)","0.214(0.21-0.22)","0.9863(0.98-0.99)",0.6422,""
"Bangladesh","JF1",0.17,0.312,0.4559,0.9721,"0.9721(0.97-0.98)","0.3631(0.36-0.37)","0.2153(0.21-0.22)","0.9864(0.98-0.99)",0.6369,""
"Bangladesh","JF1",0.18,0.3168,0.4607,0.9721,"0.9721(0.97-0.98)","0.3687(0.36-0.38)","0.2168(0.21-0.22)","0.9866(0.98-0.99)",0.6313,""
"Bangladesh","JF1",0.19,0.3211,0.4646,0.9711,"0.9711(0.97-0.98)","0.3736(0.37-0.38)","0.218(0.21-0.22)","0.9863(0.98-0.99)",0.6264,""
