"AUC","AUCL","AUCH","AI.Algorithm","subgroup"
0.912630558329107,0.907098873932658,0.918162242725557,"CAD4TB","New cases"
0.918853306930959,0.913957239485001,0.923749374376918,"qXR","New cases"
0.899181121667803,0.893172732262415,0.90518951107319,"Lunit INSIGHT CXR","New cases"
0.866294919398576,0.85972273132026,0.872867107476891,"JF CXR-1","New cases"
0.867730801677335,0.861121691246188,0.874339912108483,"InferReadDR","New cases"
0.846632983987841,0.829367520846729,0.863898447128952,"CAD4TB","Previously treated cases"
0.847853005372733,0.830740049478694,0.864965961266772,"qXR","Previously treated cases"
0.804402239228023,0.784216151699883,0.824588326756163,"Lunit INSIGHT CXR","Previously treated cases"
0.754407044201336,0.733649291581841,0.775164796820831,"JF CXR-1","Previously treated cases"
0.739870343041957,0.719247446638913,0.760493239445,"InferReadDR","Previously treated cases"
0.923527902820071,0.911199858557615,0.935855947082528,"CAD4TB","Young age"
0.934809918996666,0.924748454019567,0.944871383973765,"qXR","Young age"
0.901740202568516,0.88809038848975,0.915390016647282,"Lunit INSIGHT CXR","Young age"
0.888508705150271,0.874087947663308,0.902929462637234,"JF CXR-1","Young age"
0.887136583296222,0.873223457505345,0.901049709087099,"InferReadDR","Young age"
0.909124340794663,0.902818127214357,0.915430554374969,"CAD4TB","Middle age"
0.917544730901323,0.911991256697169,0.923098205105476,"qXR","Middle age"
0.89250882455555,0.885621844839279,0.899395804271821,"Lunit INSIGHT CXR","Middle age"
0.865476794090588,0.858237581278632,0.872716006902545,"JF CXR-1","Middle age"
0.863395185260019,0.855925215804016,0.870865154716022,"InferReadDR","Middle age"
0.860557638912505,0.846504860511387,0.874610417313623,"CAD4TB","Old age"
0.864181958644076,0.850755017512281,0.877608899775872,"qXR","Old age"
0.844339400659598,0.828289600089744,0.860389201229452,"Lunit INSIGHT CXR","Old age"
0.805920100083575,0.78989148326479,0.821948716902359,"JF CXR-1","Old age"
0.804894909841998,0.788509635210463,0.821280184473533,"InferReadDR","Old age"
0.892224196026185,0.88568870683744,0.898759685214929,"CAD4TB","PrivateReferral"
0.896961707262644,0.891008695266794,0.902914719258494,"qXR","PrivateReferral"
0.875123206460968,0.867991965099095,0.88225444782284,"Lunit INSIGHT CXR","PrivateReferral"
0.828908995709756,0.821113745134868,0.836704246284645,"JF CXR-1","PrivateReferral"
0.832169274175776,0.824456734667375,0.839881813684178,"InferReadDR","PrivateReferral"
0.913116883116883,0.880350787614124,0.945882978619642,"CAD4TB","PublicReferral"
0.899662337662338,0.866935233465065,0.93238944185961,"qXR","PublicReferral"
0.894103896103896,0.857640081513469,0.930567710694324,"Lunit INSIGHT CXR","PublicReferral"
0.82625974025974,0.781132570669422,0.871386909850059,"JF CXR-1","PublicReferral"
0.823038961038961,0.776460027833087,0.869617894244835,"InferReadDR","PublicReferral"
0.908300302841365,0.893058547928889,0.92354205775384,"CAD4TB","DOTS retested"
0.923294290549568,0.910734577863389,0.935854003235747,"qXR","DOTS retested"
0.89115914759063,0.874586654948703,0.907731640232556,"Lunit INSIGHT CXR","DOTS retested"
0.874286875389686,0.856959461971904,0.891614288807467,"JF CXR-1","DOTS retested"
0.860728600694754,0.842939128545984,0.878518072843523,"InferReadDR","DOTS retested"
0.955994000900217,0.943237752917471,0.968750248882962,"CAD4TB","WalkIn"
0.955476200523251,0.941799004540693,0.969153396505809,"qXR","WalkIn"
0.932495182434523,0.914080143903218,0.950910220965829,"Lunit INSIGHT CXR","WalkIn"
0.929398929586182,0.912056751138044,0.946741108034319,"JF CXR-1","WalkIn"
0.926833663881621,0.907848363270994,0.945818964492249,"InferReadDR","WalkIn"
0.896103896103896,0.817967189738285,0.974240602469507,"CAD4TB","Community"
0.905438311688312,0.832928525084333,0.97794809829229,"qXR","Community"
0.859375,0.767966261778819,0.950783738221181,"Lunit INSIGHT CXR","Community"
0.852069805194805,0.778911309102447,0.925228301287164,"JF CXR-1","Community"
0.806412337662338,0.722786335625018,0.890038339699657,"InferReadDR","Community"
0.901158827539196,0.780332650624075,1,"CAD4TB","Contacts"
0.883776414451261,0.738761619769521,1,"qXR","Contacts"
0.853783231083845,0.742528212791637,0.965038249376052,"Lunit INSIGHT CXR","Contacts"
0.877300613496933,0.776036454390917,0.978564772602948,"JF CXR-1","Contacts"
0.815269256987048,0.610612568354461,1,"InferReadDR","Contacts"
0.903959774379159,0.893811555452809,0.914107993305509,"CAD4TB","Female"
0.910852661182193,0.901715165916256,0.919990156448129,"qXR","Female"
0.875019275410523,0.863872857189301,0.886165693631745,"Lunit INSIGHT CXR","Female"
0.83377757248073,0.821284568617474,0.846270576343985,"JF CXR-1","Female"
0.845772997552801,0.833492506231636,0.858053488873966,"InferReadDR","Female"
0.902416461182326,0.896184175063208,0.908648747301444,"CAD4TB","Male"
0.90605187468092,0.900362744871995,0.911741004489845,"qXR","Male"
0.890566575335242,0.883727157821346,0.897405992849137,"Lunit INSIGHT CXR","Male"
0.854760857938037,0.847462408622928,0.862059307253147,"JF CXR-1","Male"
0.849274167481558,0.841840944815311,0.856707390147804,"InferReadDR","Male"
