"Site","DeepLearningSystem","Score","Sensitivity","Specificity","PPV","NPV","nnt","%XpertSaved","accuracy"
"BGD","qXR",0,"100.0% (99.9-100.0%)","0.0% (0.0-0.0%)","15.4% (15.0-15.9%)","NaN% (0.0-100.0%)","6.5 (6.3-6.7)",0,0.154
"BGD","qXR",0.01,"100.0% (99.9-100.0%)","0.0% (0.0-0.0%)","15.4% (15.0-15.9%)","NaN% (0.0-100.0%)","6.5 (6.3-6.7)",0,0.154
"BGD","qXR",0.02,"99.9% (99.7-100.0%)","7.5% (7.1-7.9%)","16.4% (15.9-16.9%)","99.7% (99.2-99.9%)","6.1 (5.9-6.3)",0.06369535,0.217
"BGD","qXR",0.03,"99.4% (99.1-99.6%)","25.9% (25.3-26.5%)","19.6% (19.1-20.2%)","99.6% (99.3-99.7%)","5.1 (4.9-5.2)",0.21992282,0.372
"BGD","qXR",0.04,"99.1% (98.7-99.4%)","33.3% (32.7-34.0%)","21.3% (20.7-21.9%)","99.5% (99.3-99.7%)","4.7 (4.6-4.8)",0.28344854,0.435
"BGD","qXR",0.05,"98.9% (98.5-99.2%)","37.3% (36.6-37.9%)","22.3% (21.7-23.0%)","99.5% (99.3-99.6%)","4.5 (4.4-4.6)",0.31682287,0.468
"BGD","qXR",0.06,"98.7% (98.3-99.0%)","40.0% (39.3-40.7%)","23.1% (22.4-23.7%)","99.4% (99.2-99.6%)","4.3 (4.2-4.5)",0.34031636,0.49
"BGD","qXR",0.07,"98.6% (98.1-98.9%)","42.2% (41.5-42.9%)","23.7% (23.0-24.4%)","99.4% (99.2-99.5%)","4.2 (4.1-4.3)",0.3593147,0.509
"BGD","qXR",0.08,"98.4% (97.9-98.8%)","44.1% (43.4-44.8%)","24.3% (23.6-25.0%)","99.3% (99.2-99.5%)","4.1 (4-4.2)",0.37538696,0.525
"BGD","qXR",0.09,"98.2% (97.7-98.6%)","45.7% (45.0-46.4%)","24.8% (24.1-25.5%)","99.3% (99.1-99.4%)","4 (3.9-4.2)",0.38972054,0.538
"BGD","qXR",0.1,"98.2% (97.7-98.6%)","47.2% (46.5-47.9%)","25.3% (24.6-26.0%)","99.3% (99.1-99.5%)","4 (3.8-4.1)",0.40227302,0.551
"BGD","qXR",0.11,"98.0% (97.5-98.4%)","48.5% (47.8-49.2%)","25.8% (25.0-26.5%)","99.3% (99.1-99.4%)","3.9 (3.8-4)",0.4136381,0.562
"BGD","qXR",0.12,"97.9% (97.4-98.4%)","49.8% (49.1-50.5%)","26.2% (25.5-27.0%)","99.3% (99.1-99.4%)","3.8 (3.7-3.9)",0.42457911,0.572
"BGD","qXR",0.13,"97.7% (97.2-98.2%)","50.8% (50.1-51.5%)","26.6% (25.8-27.3%)","99.2% (99.0-99.4%)","3.8 (3.7-3.9)",0.43318774,0.58
"BGD","qXR",0.14,"97.6% (97.1-98.1%)","51.7% (51.0-52.4%)","26.9% (26.1-27.7%)","99.2% (99.0-99.3%)","3.7 (3.6-3.8)",0.44077859,0.588
"BGD","qXR",0.15,"97.4% (96.9-97.9%)","52.5% (51.8-53.2%)","27.2% (26.4-28.0%)","99.1% (98.9-99.3%)","3.7 (3.6-3.8)",0.44815741,0.594
"BGD","qXR",0.16,"97.3% (96.8-97.8%)","53.4% (52.7-54.1%)","27.6% (26.8-28.3%)","99.1% (98.9-99.3%)","3.6 (3.5-3.7)",0.45557864,0.601
