"Site","DeepLearningSystem","Score","Sensitivity","Specificity","PPV","NPV","nnt","XpertSaved%"
"BGD","qXR",0,"100.0% (99.9-100.0%)","0.0% (0.0-0.0%)","15.5% (15.0-15.9%)","NaN% (0.0-100.0%)","6.5 (6.3-6.7)",0
"BGD","qXR",0.01,"100.0% (99.9-100.0%)","0.0% (0.0-0.0%)","15.5% (15.0-15.9%)","NaN% (0.0-100.0%)","6.5 (6.3-6.7)",0
"BGD","qXR",0.02,"99.9% (99.7-100.0%)","7.5% (7.1-7.9%)","16.5% (16.0-17.0%)","99.7% (99.2-99.9%)","6.1 (5.9-6.3)",0.06356865
"BGD","qXR",0.03,"99.4% (99.1-99.6%)","25.8% (25.2-26.5%)","19.7% (19.1-20.3%)","99.6% (99.3-99.7%)","5.1 (4.9-5.2)",0.21948536
"BGD","qXR",0.04,"99.1% (98.7-99.4%)","33.3% (32.6-34.0%)","21.4% (20.7-22.0%)","99.5% (99.3-99.7%)","4.7 (4.6-4.8)",0.28288471
"BGD","qXR",0.05,"98.9% (98.5-99.2%)","37.2% (36.5-37.9%)","22.4% (21.7-23.0%)","99.5% (99.3-99.6%)","4.5 (4.3-4.6)",0.31623498
"BGD","qXR",0.06,"98.7% (98.3-99.1%)","39.9% (39.3-40.6%)","23.1% (22.4-23.8%)","99.4% (99.2-99.6%)","4.3 (4.2-4.5)",0.33968173
"BGD","qXR",0.07,"98.6% (98.1-98.9%)","42.2% (41.5-42.8%)","23.7% (23.1-24.4%)","99.4% (99.2-99.5%)","4.2 (4.1-4.3)",0.35864229
"BGD","qXR",0.08,"98.4% (98.0-98.8%)","44.0% (43.3-44.7%)","24.3% (23.6-25.0%)","99.3% (99.2-99.5%)","4.1 (4-4.2)",0.37468258
"BGD","qXR",0.09,"98.2% (97.7-98.6%)","45.7% (45.0-46.4%)","24.8% (24.1-25.5%)","99.3% (99.1-99.4%)","4 (3.9-4.1)",0.38898764
"BGD","qXR",0.1,"98.2% (97.7-98.6%)","47.2% (46.5-47.8%)","25.3% (24.6-26.1%)","99.3% (99.1-99.5%)","3.9 (3.8-4.1)",0.40151515
"BGD","qXR",0.11,"98.0% (97.5-98.5%)","48.5% (47.8-49.2%)","25.8% (25.1-26.5%)","99.3% (99.1-99.4%)","3.9 (3.8-4)",0.41285763
"BGD","qXR",0.12,"97.9% (97.4-98.4%)","49.7% (49.1-50.4%)","26.3% (25.5-27.0%)","99.3% (99.1-99.4%)","3.8 (3.7-3.9)",0.42377687
"BGD","qXR",0.13,"97.8% (97.2-98.2%)","50.7% (50.0-51.4%)","26.6% (25.9-27.4%)","99.2% (99.0-99.4%)","3.8 (3.7-3.9)",0.43236838
"BGD","qXR",0.14,"97.6% (97.1-98.1%)","51.6% (50.9-52.3%)","26.9% (26.2-27.7%)","99.2% (99.0-99.3%)","3.7 (3.6-3.8)",0.43994413
"BGD","qXR",0.15,"97.5% (96.9-97.9%)","52.4% (51.7-53.1%)","27.2% (26.5-28.0%)","99.1% (98.9-99.3%)","3.7 (3.6-3.8)",0.44730828
"BGD","qXR",0.16,"97.3% (96.8-97.8%)","53.3% (52.6-54.0%)","27.6% (26.8-28.4%)","99.1% (98.9-99.3%)","3.6 (3.5-3.7)",0.45471475
"BGD","qXR",0.17,"97.3% (96.7-97.8%)","54.0% (53.3-54.7%)","27.9% (27.1-28.7%)","99.1% (98.9-99.3%)","3.6 (3.5-3.7)",0.46114779
"BGD","qXR",0.18,"97.1% (96.5-97.6%)","54.7% (54.0-55.4%)","28.1% (27.4-28.9%)","99.0% (98.8-99.2%)","3.6 (3.5-3.7)",0.46673438
"BGD","qXR",0.19,"97.0% (96.4-97.5%)","55.3% (54.6-56.0%)","28.4% (27.6-29.2%)","99.0% (98.8-99.2%)","3.5 (3.4-3.6)",0.47206704
"BGD","qXR",0.2,"96.9% (96.3-97.5%)","55.9% (55.2-56.6%)","28.7% (27.9-29.5%)","99.0% (98.8-99.2%)","3.5 (3.4-3.6)",0.4773997
"BGD","qXR",0.21,"96.8% (96.2-97.3%)","56.4% (55.7-57.1%)","28.9% (28.1-29.7%)","99.0% (98.8-99.1%)","3.5 (3.4-3.6)",0.48209751
"BGD","qXR",0.22,"96.8% (96.1-97.3%)","57.1% (56.4-57.8%)","29.2% (28.4-30.0%)","99.0% (98.8-99.2%)","3.4 (3.3-3.5)",0.48785339
"BGD","qXR",0.23,"96.7% (96.1-97.3%)","57.6% (56.9-58.3%)","29.4% (28.6-30.3%)","99.0% (98.8-99.1%)","3.4 (3.3-3.5)",0.49221263
"BGD","qXR",0.24,"96.7% (96.1-97.2%)","58.1% (57.4-58.8%)","29.7% (28.8-30.5%)","99.0% (98.8-99.1%)","3.4 (3.3-3.5)",0.49631793
"BGD","qXR",0.25,"96.4% (95.7-97.0%)","58.6% (57.9-59.3%)","29.8% (29.0-30.7%)","98.9% (98.7-99.1%)","3.4 (3.3-3.4)",0.50076181
"BGD","qXR",0.26,"96.3% (95.6-96.9%)","59.0% (58.3-59.7%)","30.0% (29.2-30.9%)","98.9% (98.7-99.0%)","3.3 (3.2-3.4)",0.50427459
"BGD","qXR",0.27,"96.2% (95.5-96.8%)","59.5% (58.8-60.2%)","30.2% (29.4-31.1%)","98.8% (98.6-99.0%)","3.3 (3.2-3.4)",0.50876079
"BGD","qXR",0.28,"96.1% (95.4-96.7%)","59.9% (59.2-60.6%)","30.5% (29.6-31.3%)","98.8% (98.6-99.0%)","3.3 (3.2-3.4)",0.51273912
"BGD","qXR",0.29,"95.9% (95.2-96.5%)","60.3% (59.7-61.0%)","30.6% (29.8-31.5%)","98.8% (98.6-99.0%)","3.3 (3.2-3.4)",0.51646352
"BGD","qXR",0.3,"95.8% (95.1-96.4%)","60.7% (60.1-61.4%)","30.8% (30.0-31.7%)","98.7% (98.5-98.9%)","3.2 (3.2-3.3)",0.52010327
"BGD","qXR",0.31,"95.7% (95.0-96.3%)","61.2% (60.5-61.9%)","31.1% (30.2-31.9%)","98.7% (98.5-98.9%)","3.2 (3.1-3.3)",0.5240816
"BGD","qXR",0.32,"95.5% (94.8-96.2%)","61.7% (61.0-62.4%)","31.3% (30.5-32.2%)","98.7% (98.5-98.9%)","3.2 (3.1-3.3)",0.52873709
"BGD","qXR",0.33,"95.5% (94.7-96.1%)","62.1% (61.4-62.8%)","31.5% (30.7-32.4%)","98.7% (98.5-98.9%)","3.2 (3.1-3.3)",0.5322922
"BGD","qXR",0.34,"95.4% (94.6-96.0%)","62.5% (61.9-63.2%)","31.8% (30.9-32.6%)","98.7% (98.5-98.9%)","3.1 (3.1-3.2)",0.53593195
"BGD","qXR",0.35,"95.0% (94.2-95.7%)","63.4% (62.8-64.1%)","32.2% (31.3-33.1%)","98.6% (98.4-98.8%)","3.1 (3-3.2)",0.54418487
"BGD","qXR",0.36,"95.0% (94.2-95.7%)","63.4% (62.8-64.1%)","32.2% (31.3-33.1%)","98.6% (98.4-98.8%)","3.1 (3-3.2)",0.54418487
"BGD","qXR",0.37,"94.9% (94.1-95.5%)","64.0% (63.4-64.7%)","32.5% (31.6-33.4%)","98.6% (98.3-98.7%)","3.1 (3-3.2)",0.54930591
