"","AI.Algorithm","AUC","PRAUC","Subgroup"
"1","CAD4TB ","0.9034","0.6695","all"
"2","qXR ","0.9081","0.6646","all"
"3","Lunit INSIGHT CXR","0.8861","0.622","all"
"4","JF CXR-1","0.8489","0.5086","all"
"5","InferReadDR ","0.849","0.4936","all"
"6","CAD4TB ","0.9126","0.6858","New cases"
"7","qXR ","0.9189","0.6822","New cases"
"8","Lunit INSIGHT CXR","0.8992","0.6419","New cases"
"9","JF CXR-1","0.8663","0.5378","New cases"
"10","InferReadDR ","0.8677","0.532","New cases"
"11","CAD4TB ","0.8466","0.5958","Previously treated cases"
"12","qXR ","0.8479","0.6078","Previously treated cases"
"13","Lunit INSIGHT CXR","0.8044","0.5345","Previously treated cases"
"14","JF CXR-1","0.7544","0.4176","Previously treated cases"
"15","InferReadDR ","0.7399","0.3544","Previously treated cases"
"16","CAD4TB ","0.9235","0.813","Young age"
"17","qXR ","0.9348","0.8332","Young age"
"18","Lunit INSIGHT CXR","0.9017","0.7401","Young age"
"19","JF CXR-1","0.8885","0.7236","Young age"
"20","InferReadDR ","0.8871","0.6999","Young age"
"21","CAD4TB ","0.9091","0.6714","Middle age"
"22","qXR ","0.9175","0.6777","Middle age"
"23","Lunit INSIGHT CXR","0.8925","0.6206","Middle age"
"24","JF CXR-1","0.8655","0.527","Middle age"
"25","InferReadDR ","0.8634","0.5071","Middle age"
"26","CAD4TB ","0.8606","0.4711","Old age"
"27","qXR ","0.8642","0.4563","Old age"
"28","Lunit INSIGHT CXR","0.8443","0.469","Old age"
"29","JF CXR-1","0.8059","0.358","Old age"
"30","InferReadDR ","0.8049","0.3302","Old age"
"31","CAD4TB ","0.8922","0.6633","PrivateReferral"
"32","qXR ","0.897","0.6541","PrivateReferral"
"33","Lunit INSIGHT CXR","0.8751","0.6123","PrivateReferral"
"34","JF CXR-1","0.8289","0.4926","PrivateReferral"
"35","InferReadDR ","0.8322","0.4806","PrivateReferral"
"36","CAD4TB ","0.9131","0.7806","PublicReferral"
"37","qXR ","0.8997","0.7","PublicReferral"
"38","Lunit INSIGHT CXR","0.8941","0.7186","PublicReferral"
"39","JF CXR-1","0.8263","0.5506","PublicReferral"
"40","InferReadDR ","0.823","0.549","PublicReferral"
"41","CAD4TB ","0.9083","0.6974","DOTS retested"
"42","qXR ","0.9233","0.7483","DOTS retested"
"43","Lunit INSIGHT CXR","0.8912","0.6697","DOTS retested"
"44","JF CXR-1","0.8743","0.6029","DOTS retested"
"45","InferReadDR ","0.8607","0.5588","DOTS retested"
"46","CAD4TB ","0.956","0.6728","WalkIn"
"47","qXR ","0.9555","0.6837","WalkIn"
"48","Lunit INSIGHT CXR","0.9325","0.628","WalkIn"
"49","JF CXR-1","0.9294","0.5317","WalkIn"
"50","InferReadDR ","0.9268","0.5461","WalkIn"
"51","CAD4TB ","0.8961","0.5586","Community"
"52","qXR ","0.9054","0.6149","Community"
"53","Lunit INSIGHT CXR","0.8594","0.4896","Community"
"54","JF CXR-1","0.8521","0.2963","Community"
"55","InferReadDR ","0.8064","0.2261","Community"
"56","CAD4TB ","0.9012","0.6645","Contacts"
"57","qXR ","0.8838","0.501","Contacts"
"58","Lunit INSIGHT CXR","0.8538","0.4226","Contacts"
"59","JF CXR-1","0.8773","0.3458","Contacts"
"60","InferReadDR ","0.8153","0.2448","Contacts"
"61","CAD4TB ","0.904","0.6673","Female"
"62","qXR ","0.9109","0.6579","Female"
"63","Lunit INSIGHT CXR","0.875","0.5798","Female"
"64","JF CXR-1","0.8338","0.4498","Female"
"65","InferReadDR ","0.8458","0.4859","Female"
"66","CAD4TB ","0.9024","0.6703","Male"
"67","qXR ","0.9061","0.6669","Male"
"68","Lunit INSIGHT CXR","0.8906","0.6386","Male"
"69","JF CXR-1","0.8548","0.5302","Male"
"70","InferReadDR ","0.8493","0.4984","Male"
