Huan_Sens,Huan_Sens_L,Huan_Sens_H,Huan_Spec,Huan_Spec_L,Huan_Spec_H,Huan_PPV,Huan_PPV_L,Huan_PPV_H,Huan_NPV,Huan_NPV_L,Huan_NPV_H,Huan_X,AccuracyTableCategory,Huan_Sensitivity,Huan_Specificity,Huan_ppv,Huan_npv,AI,Score,AI_Spec,AI_NNT,AI_NNT_H,AI_Sensitivity,AI_Specificity,AI_PPV,AI_PPV_L,AI_PPV_H,AI_NPV,AI_NPV_L,AI_NPV_H,AI_ppv,AI_npv
0.950748299,0.943249183,0.957519598,0.459144928,0.452267868,0.466033705,0.241598672,0.234640234,0.248661207,0.980931311,0.977975001,0.983587006,0.540855072,Any Abnormality,"95.1%, (94.3-95.8%)","45.9%, (45.2-46.6%)","24.2%, (23.5-24.9%)","98.1%, (97.8-98.4%)",qXR,0.35,0.63447965,3.105536342,3.193012768,95.0% (94.2-95.7%),63.4% (62.8-64.1%),0.32200557,0.31318384,0.33092363,0.98576762,0.98356781,0.98774331,32.2% (31.3-33.1%),98.6% (98.4-98.8%)
0.885442177,0.874701207,0.895565699,0.626066374,0.619364668,0.632731921,0.300267602,0.291645996,0.308996635,0.967904246,0.964744137,0.970854452,0.373933626,Probably TB,"88.5%, (87.5-89.6%)","62.6%, (61.9-63.3%)","30.0%, (29.2-30.9%)","96.8%, (96.5-97.1%)",qXR,0.6401,0.76553036,2.447913421,2.514730853,88.6% (87.5-89.6%),76.6% (76.0-77.1%),0.40851118,0.39765687,0.41943286,0.97351837,0.97088631,0.97597304,40.9% (39.8-41.9%),97.4% (97.1-97.6%)
0.392108844,0.376279188,0.40811031,0.88944228,0.885045705,0.893726857,0.391257127,0.375451492,0.407235552,0.889793301,0.885401798,0.894072659,0.11055772,Highly Suggestive,"39.2%, (37.6-40.8%)","88.9%, (88.5-89.4%)","39.1%, (37.5-40.7%)","89.0%, (88.5-89.4%)",qXR,0.9101,0.97837513,1.317880794,1.354486622,37.2% (35.7-38.8%),97.8% (97.6-98.0%),0.75879397,0.7382871,0.77844958,0.89504053,0.89089969,0.89907587,75.9% (73.8-77.8%),89.5% (89.1-89.9%)
0.950748299,0.943249183,0.957519598,0.459144928,0.452267868,0.466033705,0.241598672,0.234640234,0.248661207,0.980931311,0.977975001,0.983587006,0.540855072,Any Abnormality,"95.1%, (94.3-95.8%)","45.9%, (45.2-46.6%)","24.2%, (23.5-24.9%)","98.1%, (97.8-98.4%)",Lunit INSIGHT CXR,0.09,0.49376783,3.913569598,4.028963088,95.1% (94.3-95.7%),49.4% (48.7-50.1%),0.2555212,0.24820282,0.26294445,0.98207885,0.97929031,0.98458261,25.6% (24.8-26.3%),98.2% (97.9-98.5%)
0.885442177,0.874701207,0.895565699,0.626066374,0.619364668,0.632731921,0.300267602,0.291645996,0.308996635,0.967904246,0.964744137,0.970854452,0.373933626,Probably TB,"88.5%, (87.5-89.6%)","62.6%, (61.9-63.3%)","30.0%, (29.2-30.9%)","96.8%, (96.5-97.1%)",Lunit INSIGHT CXR,0.6701,0.70355909,2.832869054,2.913736443,88.5% (87.4-89.5%),70.4% (69.7-71.0%),0.35299902,0.34320194,0.36288973,0.97098446,0.96811906,0.97365838,35.3% (34.3-36.3%),97.1% (96.8-97.4%)
0.392108844,0.376279188,0.40811031,0.88944228,0.885045705,0.893726857,0.391257127,0.375451492,0.407235552,0.889793301,0.885401798,0.894072659,0.11055772,Highly Suggestive,"39.2%, (37.6-40.8%)","88.9%, (88.5-89.4%)","39.1%, (37.5-40.7%)","89.0%, (88.5-89.4%)",Lunit INSIGHT CXR,0.96,0.97942634,1.32515822,1.363724907,34.6% (33.1-36.2%),97.9% (97.7-98.1%),0.75462687,0.73328572,0.77507204,0.89126771,0.88707503,0.89535647,75.5% (73.3-77.5%),89.1% (88.7-89.5%)
0.950748299,0.943249183,0.957519598,0.459144928,0.452267868,0.466033705,0.241598672,0.234640234,0.248661207,0.980931311,0.977975001,0.983587006,0.540855072,Any Abnormality,"95.1%, (94.3-95.8%)","45.9%, (45.2-46.6%)","24.2%, (23.5-24.9%)","98.1%, (97.8-98.4%)",InferReadDR,0.2081,0.47784953,4.005185754,4.123737698,95.1% (94.3-95.7%),47.8% (47.1-48.5%),0.24967631,0.24249845,0.25695907,0.98149291,0.97861418,0.98407789,25.0% (24.2-25.7%),98.1% (97.9-98.4%)
0.885442177,0.874701207,0.895565699,0.626066374,0.619364668,0.632731921,0.300267602,0.291645996,0.308996635,0.967904246,0.964744137,0.970854452,0.373933626,Probably TB,"88.5%, (87.5-89.6%)","62.6%, (61.9-63.3%)","30.0%, (29.2-30.9%)","96.8%, (96.5-97.1%)",InferReadDR,0.3762,0.64359013,3.203652163,3.297905365,88.5% (87.4-89.5%),64.4% (63.7-65.0%),0.31214375,0.30322277,0.32117053,0.96836635,0.96524704,0.97127807,31.2% (30.3-32.1%),96.8% (96.5-97.1%)
0.392108844,0.376279188,0.40811031,0.88944228,0.885045705,0.893726857,0.391257127,0.375451492,0.407235552,0.889793301,0.885401798,0.894072659,0.11055772,Highly Suggestive,"39.2%, (37.6-40.8%)","88.9%, (88.5-89.4%)","39.1%, (37.5-40.7%)","89.0%, (88.5-89.4%)",InferReadDR,0.7873,0.94128247,1.822580633,1.889277245,39.1% (37.5-40.7%),94.1% (93.8-94.5%),0.54867257,0.52930294,0.56793241,0.89419373,0.88995804,0.89832011,54.9% (52.9-56.8%),89.4% (89.0-89.8%)
0.950748299,0.943249183,0.957519598,0.459144928,0.452267868,0.466033705,0.241598672,0.234640234,0.248661207,0.980931311,0.977975001,0.983587006,0.540855072,Any Abnormality,"95.1%, (94.3-95.8%)","45.9%, (45.2-46.6%)","24.2%, (23.5-24.9%)","98.1%, (97.8-98.4%)",JF CXR-1,0.5622,0.49201582,3.923653087,4.039394273,95.1% (94.3-95.7%),49.2% (48.5-49.9%),0.25486453,0.24756187,0.26227206,0.98201619,0.97921799,0.98452863,25.5% (24.8-26.2%),98.2% (97.9-98.5%)
